name,abbrv,formula,state,ref1,ref2,date,model,E_units,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T,azero,neutral_ion_type,dissrxn,tag,formula_ox,category_1,category_2
V(OH)+2,V(OH)+2,V(OH)+2,aq,WORM Complicator,NA,20251219,HKF,cal,-111511.179,-118992.055,-10.6,-25.116,,,,,,2.672,-8.151,1.218,2,6,0,-1.0000 V(OH)+2 1.0000 OH- 1.0000 V+3,,H+ V+3 O-2,inorganic_aq,
V(O)+,V(O)+,V(O)+,aq,WORM Complicator,NA,20251219,HKF,cal,-106101.508,-108968.112,4.9,-66.386,-9.795,0.586,-6.351,8.246,-2.516,-28.341,-16.557,0.477,1,4,0,-1.0000 V(O)+ 1.0000 H2O -2.0000 H+ 1.0000 V+3,,V+3 O-2,inorganic_aq,
VO(OH)+,VO(OH)+,VO(OH)+,aq,WORM Complicator,NA,20251219,HKF,cal,-155659.12,-177626.237,-17.74,29.224,-19.983,-0.692,-9.472,9.473,-2.387,30.851,2.918,0.82,1,4,0,-1.0000 VO(OH)+ 1.0000 OH- 1.0000 VO+2,,H+ V+4 2O-2,inorganic_aq,
Y(OH)+2,Y(OH)+2,Y(OH)+2,aq,WORM Complicator,NA,20251219,HKF,cal,-209985.62,-220943.536,-17.2,-17.592,,,,,,8.002,-6.618,1.318,2,6,0,-1.0000 Y(OH)+2 1.0000 Y+3 1.0000 OH-,,Y+3 H+ O-2,inorganic_aq,
Y(O)+,Y(O)+,Y(O)+,aq,WORM Complicator,NA,20251219,HKF,cal,-198099.901,-204592.62,-2.2,-58.292,4.548,2.585,-1.469,6.328,-2.718,-22.607,-14.909,0.585,1,4,0,-1.0000 Y(O)+ 1.0000 H2O 1.0000 Y+3 -2.0000 H+,,Y+3 O-2,inorganic_aq,
HY(O)2,HY(O)2,HY(O)2,aq,WORM Complicator,NA,20251219,HKF,cal,-241724.842,-254699.197,31.8,-96.504,19.65,4.441,3.062,4.546,-2.906,-50.741,-22.692,-0.038,0,4,0,-1.0000 HY(O)2 2.0000 H2O 1.0000 Y+3 -3.0000 H+,,Y+3 H+ 2O-2,inorganic_aq,
Y(O)2-,Y(O)2-,Y(O)2-,aq,WORM Complicator,NA,20251219,HKF,cal,-227406.683,-243667.741,20.8,-77.348,16.9,4.522,3.259,4.469,-2.914,-27.058,-18.79,1.314,-1,4,0,-1.0000 Y(O)2- 2.0000 H2O 1.0000 Y+3 -4.0000 H+,,Y+3 2O-2,inorganic_aq,
Yb(OH)+2,Yb(OH)+2,Yb(OH)+2,aq,WORM Complicator,NA,20251219,HKF,cal,-199189.713,-210051.864,-13.108,-22.257,,,,,,4.698,-7.568,1.256,2,6,0,-1.0000 Yb(OH)+2 1.0000 OH- 1.0000 Yb+3,,H+ Yb+3 O-2,inorganic_aq,
Yb(O)+,Yb(O)+,Yb(O)+,aq,WORM Complicator,NA,20251219,HKF,cal,-188213.942,-194518.47,2.202,-63.31,5.252,2.659,-1.289,6.257,-2.726,-26.162,-15.931,0.518,1,4,0,-1.0000 Yb(O)+ 1.0000 H2O -2.0000 H+ 1.0000 Yb+3,,Yb+3 O-2,inorganic_aq,
HYb(O)2,HYb(O)2,HYb(O)2,aq,WORM Complicator,NA,20251219,HKF,cal,-233844.316,-246538.053,36.512,-107.247,20.828,4.602,3.456,4.392,-2.922,-57.037,-24.881,-0.038,0,4,0,-1.0000 HYb(O)2 2.0000 H2O -3.0000 H+ 1.0000 Yb+3,,Yb+3 H+ 2O-2,inorganic_aq,
Yb(O)2-,Yb(O)2-,Yb(O)2-,aq,WORM Complicator,NA,20251219,HKF,cal,-221790.795,-237678.809,25.822,-87.693,18.155,4.668,3.616,4.329,-2.928,-33.821,-20.898,1.238,-1,4,0,-1.0000 Yb(O)2- 2.0000 H2O -4.0000 H+ 1.0000 Yb+3,,Yb+3 2O-2,inorganic_aq,
Zn(OH)+,Zn(OH)+,Zn(OH)+,aq,WORM Complicator,NA,20251219,HKF,cal,-79666.678,-85461.634,15.0,-8.1,,,,,,4.409,-4.685,0.325,1,4,0,-1.0000 Zn(OH)+ 1.0000 OH- 1.0000 Zn+2,,H+ O-2 Zn+2,inorganic_aq,
Zn(O),Zn(O),Zn(O),aq,WORM Complicator,NA,20251219,HKF,cal,-67480.825,-83334.067,-2.0,-13.22,,,,,,-1.931,-5.728,-0.038,0,4,0,-1.0000 Zn(O) 1.0000 H2O -2.0000 H+ 1.0000 Zn+2,,Zn+2 O-2,inorganic_aq,
HZn(O)2-,HZn(O)2-,HZn(O)2-,aq,WORM Complicator,NA,20251219,HKF,cal,-110669.21,-147315.288,-16.0,12.48,,,,,,30.721,-0.492,1.871,-1,4,0,-1.0000 HZn(O)2- 2.0000 H2O -3.0000 H+ 1.0000 Zn+2,,Zn+2 H+ 2O-2,inorganic_aq,
Zn(O)2-2,Zn(O)2-2,Zn(O)2-2,aq,WORM Complicator,NA,20251219,HKF,cal,-93349.722,-142141.136,-40.0,-15.0,,,,,,32.554,-6.09,3.818,-2,4,0,-1.0000 Zn(O)2-2 2.0000 H2O -4.0000 H+ 1.0000 Zn+2,,Zn+2 2O-2,inorganic_aq,
Zr(OH)+3,Zr(OH)+3,Zr(OH)+3,aq,WORM Complicator,NA,20251219,HKF,cal,-190373.634,-223544.322,-108.596,86.599,-12.475,1.147,-4.98,7.707,-2.573,86.62,14.606,3.224,3,9,0,-1.0000 Zr(OH)+3 1.0000 Zr+4 1.0000 OH-,,Zr+4 H+ O-2,inorganic_aq,
Zr(O)+2,Zr(O)+2,Zr(O)+2,aq,WORM Complicator,NA,20251219,HKF,cal,-187651.515,-209355.252,-53.4,0.076,-3.644,1.897,-3.149,6.988,-2.649,23.408,-3.019,1.867,2,6,0,-1.0000 Zr(O)+2 1.0000 H2O 1.0000 Zr+4 -2.0000 H+,,Zr+4 O-2,inorganic_aq,
HZr(O)2+,HZr(O)2+,HZr(O)2+,aq,WORM Complicator,NA,20251219,HKF,cal,-239707.461,-265371.677,-27.656,39.056,4.786,2.748,-1.072,6.171,-2.735,37.997,4.921,0.97,1,4,0,-1.0000 HZr(O)2+ 2.0000 H2O 1.0000 Zr+4 -3.0000 H+,,Zr+4 H+ 2O-2,inorganic_aq,
Zr(O)2,Zr(O)2,Zr(O)2,aq,WORM Complicator,NA,20251219,HKF,cal,-233438.318,-263888.932,-43.686,55.493,0.778,1.859,-3.243,7.025,-2.645,38.339,8.269,-0.038,0,4,0,-1.0000 Zr(O)2 2.0000 H2O 1.0000 Zr+4 -4.0000 H+,,Zr+4 2O-2,inorganic_aq,
