Sample,H+,Pressure,Temperature,O2,Na+,Cl-,Ca+2,HCO3-,Pb+2
id,pH,bar,degC,ppm,ppm,mg/L,mg/L,"Alk., mg/L CaCO3",ppm
F_7.75,7.75,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_7.70,7.7,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_7.65,7.65,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_7.60,7.6,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_7.55,7.55,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_7.50,7.5,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_7.45,7.45,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_7.40,7.4,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_7.35,7.35,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_7.30,7.3,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_7.25,7.25,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_7.20,7.2,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_7.15,7.15,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_7.10,7.1,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_7.05,7.05,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_7.00,7,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_6.95,6.95,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_6.90,6.9,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_6.85,6.85,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_6.80,6.8,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_6.75,6.75,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_6.70,6.7,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_6.65,6.65,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_6.60,6.6,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_6.55,6.55,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_6.50,6.5,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_6.45,6.45,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_6.40,6.4,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_6.35,6.35,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_6.30,6.3,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_6.25,6.25,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_6.20,6.2,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_6.15,6.15,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_6.10,6.1,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_6.05,6.05,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_6.00,6,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_5.95,5.95,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_5.90,5.9,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_5.85,5.85,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_5.80,5.8,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_5.75,5.75,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_5.70,5.7,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_5.65,5.65,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_5.60,5.6,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_5.55,5.55,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_5.50,5.5,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_5.45,5.45,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_5.40,5.4,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_5.35,5.35,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_5.30,5.3,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_5.25,5.25,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_5.20,5.2,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_5.15,5.15,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_5.10,5.1,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_5.05,5.05,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
F_5.00,5,1.1,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03
