Sample,pH_(input),Pressure,Temperature,O2_(input),Na+_(input),Cl-_(input),Ca+2_(input),HCO3-_(input),Pb+2_(input),CO,CO2,CO3-2,Ca+2,CaCO3,CaCl+,CaCl2,CaHCO3+,CaOH+,Cl-,ClO-,ClO2-,ClO3-,ClO4-,H+,H2,H2O,H2O2,HCO3-,HCl,HClO,HClO2,HO2-,HPbO2-,Na+,NaCl,NaOH,O2,OH-,Pb+2,PbCl+,PbCl2,PbCl3-,PbCl4-2,PbO,PbOH+,pH,aragonite,calcite,cerussite,halite,litharge,portlandite,DEFAULT,O2/H2O,charge imbalance,charge imbalance % of mean charge,charge imbalance % of total charge,ionic strength,mean charge,sigma(mz) anions,sigma(mz) cations,stoichiometric ionic strength,total charge,Ca+2_Log_ion-H+_activity_ratio,Cl-_Log_ion-H+_activity_ratio,ClO-_Log_ion-H+_activity_ratio,ClO2-_Log_ion-H+_activity_ratio,ClO3-_Log_ion-H+_activity_ratio,ClO4-_Log_ion-H+_activity_ratio,HCO3-_Log_ion-H+_activity_ratio,Na+_Log_ion-H+_activity_ratio,OH-_Log_ion-H+_activity_ratio,Pb+2_Log_ion-H+_activity_ratio,CH4(g),CO(g),CO2(g),H2(g),H2O(g),O2(g),Ca+2_total,Cl-_total,H+_total,HCO3-_total,Na+_total,O2_total,OH-_total,Pb+2_total
,pH,bar,degC,ppm,ppm,mg/L,mg/L,"Alk., mg/L CaCO3",ppm,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,molality,pH,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,affinity_kcal,Eh_volts,Eh_volts,%,%,eq/kg.H2O,molality,eq/kg.H2O,eq/kg.H2O,eq/kg.H2O,eq/kg.H2O,molality,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,Log ion-H+ activity ratio,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,log_fugacity,molality,molality,molality,molality,molality,molality,molality,molality
F_8.50,8.5,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,2.0858e-54,1.6517e-05,2.3203e-05,0.00065429,1.5348e-05,9.5156e-08,2.0444e-11,1.1595e-05,5.0079e-09,0.00039485,1.4524e-21,9.8775e-32,2.4818e-27,2.4381e-27,3.3432e-09,1.3578e-47,55.364055576117075,5.2499e-20,0.001908,2.9288e-13,2.1131999999999999e-22,2.1741e-38,1.8124e-23,4.2178e-14,0.0010299,5.6143e-08,5.7634e-10,0.00035011,9.9773e-07,2.4241e-10,1.9791e-12,2.4339e-15,4.745400000000001e-19,1.3469e-22,3.014e-11,4.3174e-08,8.5,0.33739,0.52567,-0.78792,,-7.65577,,0.754,0.754,-2.3284325856e-15,-0.0,-0.0,0.0030277,0.0023502111779,-0.0023502111779,0.0023502111779,0.00307408,0.0047004223559,13.71531,-11.929,-29.36291,-39.53036,-35.13045,-35.13817,-11.24443,5.48664,-14.52621,7.2816,-153.55799,-50.80082,-3.51232,-43.81267,-1.98852,-0.68148,0.000681333,0.000395006,,0.00197462,0.00102995,0.000350114,2.30774e-05,4.34488e-08
F_8.45,8.45,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,2.3405000000000002e-54,1.8534e-05,2.0677e-05,0.00065589,1.3717e-05,9.5408e-08,2.05e-11,1.1626e-05,4.4749e-09,0.00039485,1.4524e-21,9.8775e-32,2.4818e-27,2.4381e-27,3.7509e-09,1.3578e-47,55.364055576117075,5.2499e-20,0.001908,3.2863e-13,2.3712e-22,2.4395e-38,1.6152e-23,3.3483e-14,0.0010216,5.5696e-08,5.0955e-10,0.00035011,8.8918e-07,2.7178e-10,2.2194e-12,2.7297e-15,5.322100000000001e-19,1.5105e-22,2.6847e-11,4.3148e-08,8.45,0.27407,0.46234,-0.78818,,-7.72096,,0.757,0.757,-4.5200388571000005e-13,-0.0,-0.0,0.0030217,0.0023451292499,-0.0023451292502,0.0023451292497,0.00306576,0.0046902584999,13.61646,-11.87898,-29.31289,-39.48033,-35.08043,-35.08815,-11.19439,5.43315,-14.52621,7.23136,-153.50795,-50.75078,-3.46228,-43.81267,-1.98852,-0.68148,0.000681333,0.000395006,,0.00197258,0.00102163,0.000350114,1.67935e-05,4.34488e-08
F_8.40,8.4,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,2.6263000000000003e-54,2.0797e-05,1.8427e-05,0.00065732,1.2255e-05,9.5635e-08,2.0551e-11,1.1654e-05,3.9975e-09,0.00039485,1.4524e-21,9.8775e-32,2.4818e-27,2.4381e-27,4.2084e-09,1.3578e-47,55.364055576117075,5.2499e-20,0.0019081,3.6875e-13,2.6607e-22,2.7373e-38,1.4395e-23,2.6578e-14,0.0010142,5.5297e-08,4.5086e-10,0.00035011,7.9244e-07,3.0468e-10,2.4886e-12,3.0611e-15,5.9682e-19,1.6937e-22,2.3912e-11,4.3118e-08,8.4,0.21058,0.39885,-0.7885,,-7.7862,,0.76,0.76,-2.7928961227e-13,-0.0,-0.0,0.00301635,0.0023406008366,-0.0023406008368,0.0023406008365,0.00305834,0.0046812016732,13.51749,-11.82896,-29.26287,-39.43031,-35.03041,-35.03813,-11.14436,5.38,-14.52621,7.18108,-153.45792,-50.70074,-3.41224,-43.81267,-1.98852,-0.68148,0.000681333,0.000395006,,0.00197123,0.00101421,0.000350114,1.07204e-05,4.34488e-08
F_8.35,8.35,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,2.947e-54,2.3336e-05,1.6421e-05,0.00065861,1.0946e-05,9.5837e-08,2.0596e-11,1.1679e-05,3.5702e-09,0.00039485,1.4524e-21,9.877599999999999e-32,2.4818e-27,2.4381e-27,4.7218e-09,1.3578e-47,55.364055576117075,5.2499e-20,0.0019082,4.1376e-13,2.9853999999999997e-22,3.0714e-38,1.2829e-23,2.1095e-14,0.0010075,5.494e-08,3.9922e-10,0.00035011,7.0624e-07,3.4154e-10,2.7901e-12,3.4323e-15,6.6919e-19,1.8988999999999999e-22,2.1296e-11,4.3083e-08,8.35,0.14694,0.33521,-0.78889,,-7.8515,,0.763,0.763,-1.6740623644000002e-13,-0.0,-0.0,0.0030116,0.0023365655658,-0.0023365655659,0.0023365655657,0.00305171,0.0046731311317,13.41841,-11.77894,-29.21285,-39.38029,-34.98039,-34.98811,-11.09433,5.32717,-14.52621,7.13075,-153.40788,-50.65071,-3.36221,-43.81267,-1.98852,-0.68148,0.000681333,0.000395006,,0.00197055,0.00100758,0.000350114,4.77964e-06,4.34488e-08
F_8.30,8.3,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,3.3068e-54,2.6185e-05,1.4634e-05,0.00065976,9.7749e-06,9.6018e-08,2.0637e-11,1.1702e-05,3.1878e-09,0.00039486,1.4524e-21,9.877599999999999e-32,2.4818e-27,2.4381e-27,5.2977e-09,1.3578e-47,55.364055576117075,5.2499e-20,0.0019082,4.6426e-13,3.3498e-22,3.4463e-38,1.1433e-23,1.6741e-14,0.0010016,5.4622e-08,3.5373e-10,0.00035011,6.2941e-07,3.8282e-10,3.1278e-12,3.8481e-15,7.502500000000001e-19,2.1286999999999997e-22,1.8963e-11,4.3044e-08,8.3,0.08316,0.27144,-0.78934,,-7.91686,,0.766,0.765,-9.5229596778e-14,-0.0,-0.0,0.00300736,0.0023329696679,-0.002332969668,0.0023329696679,0.0030469,0.0046659393358,13.31923,-11.72892,-29.16283,-39.33028,-34.93037,-34.93809,-11.0443,5.27463,-14.52621,7.08037,-153.35786,-50.60068,-3.31218,-43.81267,-1.98852,-0.68148,0.000681333,0.000395006,1.10571e-06,0.00197051,0.00100166,0.000350114,,4.34488e-08
F_8.25,8.25,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,3.7105e-54,2.9382e-05,1.3042e-05,0.00066079,8.7271e-06,9.618e-08,2.0673e-11,1.1722e-05,2.8459e-09,0.00039486,1.4524e-21,9.877599999999999e-32,2.4818e-27,2.4381e-27,5.944e-09,1.3578e-47,55.364055576117075,5.2499e-20,0.0019083,5.2093e-13,3.7587e-22,3.867e-38,1.019e-23,1.3284e-14,0.00099632,5.4337e-08,3.1361e-10,0.00035011,5.6094e-07,4.2904e-10,3.506e-12,4.3136e-15,8.410100000000001e-19,2.3861e-22,1.6884e-11,4.2999e-08,8.25,0.01928,0.20755,-0.78987,,-7.9823,,0.768,0.768,-4.8970593206e-14,-0.0,-0.0,0.00300359,0.0023297652498,-0.0023297652498,0.0023297652497,0.00304752,0.0046595304995,13.21996,-11.67891,-29.11282,-39.28026,-34.88035,-34.88808,-10.99427,5.22235,-14.52621,7.02994,-153.30783,-50.55066,-3.26216,-43.81267,-1.98852,-0.68148,0.000681333,0.000395006,7.0123e-06,0.00197114,0.000996379,0.000350114,,4.34488e-08
F_8.20,8.2,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,4.1635e-54,3.2969e-05,1.1623e-05,0.0006617,7.7902e-06,9.6325e-08,2.0706e-11,1.174e-05,2.5401e-09,0.00039486,1.4524e-21,9.877599999999999e-32,2.4818e-27,2.4381e-27,6.6691e-09,1.3578e-47,55.364055576117075,5.2499e-20,0.0019083,5.8451e-13,4.2175e-22,4.3389999999999996e-38,9.0813e-24,1.054e-14,0.00099161,5.4084e-08,2.7819e-10,0.00035011,4.9993e-07,4.8079e-10,3.9293e-12,4.8347e-15,9.426200000000002e-19,2.6742e-22,1.5031e-11,4.2949e-08,8.2,-0.04472,0.14355,-0.79048,,-8.04781,,0.771,0.771,-1.9606928928e-14,-0.0,-0.0,0.00300024,0.0023269096497,-0.0023269096497,0.0023269096497,0.00304881,0.0046538192994,13.12062,-11.6289,-29.0628,-39.23025,-34.83034,-34.83806,-10.94425,5.17031,-14.52621,6.97945,-153.25781,-50.50064,-3.21213,-43.81267,-1.98852,-0.68148,0.000681333,0.000395006,1.30173e-05,0.00197243,0.000991666,0.000350114,,4.34488e-08
F_8.15,8.15,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,4.6717000000000005e-54,3.6994e-05,1.0358e-05,0.00066253,6.9527e-06,9.6455e-08,2.0735e-11,1.1756e-05,2.2669e-09,0.00039486,1.4524e-21,9.877599999999999e-32,2.4818e-27,2.4381e-27,7.4826e-09,1.3578e-47,55.364055576117075,5.2499e-20,0.0019083,6.5585e-13,4.7322e-22,4.8685e-38,8.0935e-24,8.3609e-15,0.00098741,5.3857e-08,2.4689e-10,0.00035011,4.4555e-07,5.387e-10,4.403e-12,5.4179e-15,1.0563e-18,2.9966e-22,1.3379e-11,4.2892e-08,8.15,-0.10881,0.07946,-0.79119,,-8.11342,,0.774,0.774,-1.243146211e-15,-0.0,-0.0,0.00299725,0.0023243648637,-0.0023243648637,0.0023243648637,0.00305079,0.0046487297275,13.0212,-11.57888,-29.01279,-39.18024,-34.78033,-34.78805,-10.89423,5.11847,-14.52621,6.92888,-153.20779,-50.45062,-3.16211,-43.81267,-1.98852,-0.68148,0.000681333,0.000395006,1.91995e-05,0.00197441,0.000987461,0.000350114,,4.34488e-08
F_8.10,8.1,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,5.2419e-54,4.151e-05,9.2312e-06,0.00066326,6.2043e-06,9.6571e-08,2.0761e-11,1.177e-05,2.0227e-09,0.00039486,1.4524e-21,9.877599999999999e-32,2.4818e-27,2.4381e-27,8.3955e-09,1.3578e-47,55.364055576117075,5.2499e-20,0.0019084,7.3589e-13,5.3098e-22,5.4627e-38,7.2132e-24,6.6314e-15,0.00098366,5.3655e-08,2.1921e-10,0.00035011,3.9709e-07,6.0348e-10,4.933e-12,6.0704e-15,1.1835e-18,3.3574e-22,1.1907e-11,4.2828e-08,8.1,-0.17298,0.01529,-0.79199,,-8.17912,,0.777,0.777,9.9820325616e-15,0.0,0.0,0.00299459,0.0023220970354,-0.0023220970354,0.0023220970354,0.00305348,0.0046441940707,12.92172,-11.52887,-28.96278,-39.13023,-34.73032,-34.73804,-10.84421,5.06683,-14.52621,6.87825,-153.15777,-50.4006,-3.1121,-43.81267,-1.98852,-0.68148,0.000681333,0.000395006,2.56402e-05,0.0019771,0.000983709,0.000350114,,4.34488e-08
F_8.05,8.05,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,5.881800000000001e-54,4.6576e-05,8.2269e-06,0.00066392,5.5357e-06,9.6674e-08,2.0784e-11,1.1783e-05,1.8046e-09,0.00039486,1.4524e-21,9.877599999999999e-32,2.4818e-27,2.4381e-27,9.4197e-09,1.3578e-47,55.364055576117075,5.2499e-20,0.0019084,8.257e-13,5.9578e-22,6.1294e-38,6.4286e-24,5.2587e-15,0.00098031,5.3475e-08,1.9471e-10,0.00035011,3.539e-07,6.7594e-10,5.5258e-12,6.8001e-15,1.3258e-18,3.7607999999999997e-22,1.0594e-11,4.2757e-08,8.05,-0.23723,-0.04896,-0.7929,,-8.24492,,0.78,0.78,1.6595882654e-14,0.0,0.0,0.00299222,0.0023200760014,-0.0023200760014,0.0023200760014,0.00305692,0.0046401520028,12.82219,-11.47886,-28.91277,-39.08022,-34.68031,-34.68803,-10.7942,5.01536,-14.52621,6.82753,-153.10775,-50.35058,-3.06208,-43.81267,-1.98852,-0.68148,0.000681333,0.000395006,3.24243e-05,0.00198053,0.000980362,0.000350114,,4.34488e-08
F_8.00,8,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,6.599700000000001e-54,5.2261e-05,7.332e-06,0.0006645,4.9386e-06,9.6767e-08,2.0804e-11,1.1794e-05,1.6099e-09,0.00039486,1.4524e-21,9.877599999999999e-32,2.4818e-27,2.4381e-27,1.0569e-08,1.3578e-47,55.364055576117075,5.2499e-20,0.0019084,9.2647e-13,6.6849e-22,6.8774e-38,5.7294000000000005e-24,4.1693e-15,0.00097732,5.3315e-08,1.7301e-10,0.00035011,3.154e-07,7.5695e-10,6.1885e-12,7.6159e-15,1.4849e-18,4.2117999999999996e-22,9.4245e-12,4.2676e-08,8.0,-0.30155,-0.11328,-0.79393,,-8.31085,,0.782,0.782,2.024704189e-14,0.0,0.0,0.00299011,0.0023182748881,-0.0023182748881,0.0023182748881,0.00306115,0.0046365497762,12.7226,-11.42886,-28.86276,-39.03021,-34.6303,-34.63802,-10.74418,4.96404,-14.52621,6.77672,-153.05774,-50.30057,-3.01207,-43.81267,-1.98852,-0.68148,0.000681333,0.000395006,3.96412e-05,0.00198477,0.000977377,0.000350114,,4.34488e-08
F_7.95,7.95,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,7.405200000000001e-54,5.864e-05,6.5344e-06,0.00066503,4.4054e-06,9.6849e-08,2.0823e-11,1.1804e-05,1.436e-09,0.00039486,1.4524e-21,9.877599999999999e-32,2.4818e-27,2.4381e-27,1.1858e-08,1.3578e-47,55.364055576117075,5.2499e-20,0.0019085,1.0395e-12,7.500699999999999e-22,7.7167e-38,5.1063000000000005e-24,3.3048e-15,0.00097466,5.3171e-08,1.5378e-10,0.00035011,2.811e-07,8.4747e-10,6.9291e-12,8.5276e-15,1.6626e-18,4.7159e-22,8.382e-12,4.2586e-08,7.95,-0.36593,-0.17765,-0.7951,,-8.3769,,0.785,0.785,2.202339873e-14,0.0,0.0,0.00298823,0.0023166697514,-0.0023166697514,0.0023166697514,0.00306623,0.0046333395028,12.62297,-11.37885,-28.81276,-38.9802,-34.58029,-34.58801,-10.69417,4.91287,-14.52621,6.72581,-153.00773,-50.25055,-2.96205,-43.81267,-1.98852,-0.68148,0.000681333,0.000395006,4.73864e-05,0.00198985,0.000974714,0.000350114,,4.34488e-08
F_7.90,7.9,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,8.308900000000001e-54,6.5796e-05,5.8236e-06,0.00066549,3.9294e-06,9.6923e-08,2.0839e-11,1.1814e-05,1.2808e-09,0.00039486,1.4524e-21,9.8777e-32,2.4818e-27,2.4381e-27,1.3305e-08,1.3578e-47,55.364055576117075,5.2499e-20,0.0019085,1.1664e-12,8.415999999999999e-22,8.658399999999999e-38,4.5509000000000004e-24,2.6189e-15,0.00097229,5.3043e-08,1.3673e-10,0.00035011,2.5053e-07,9.4858e-10,7.7562e-12,9.5459e-15,1.8612e-18,5.2788e-22,7.4529e-12,4.2485e-08,7.9,-0.43036,-0.24208,-0.79641,,-8.44311,,0.788,0.788,2.2626431978e-14,0.0,0.0,0.00298656,0.0023152392569,-0.0023152392568,0.0023152392569,0.00307223,0.0046304785137,12.5233,-11.32884,-28.76275,-38.93019,-34.53029,-34.53801,-10.64416,4.86181,-14.52621,6.67478,-152.95772,-50.20054,-2.91204,-43.81267,-1.98852,-0.68148,0.000681333,0.000395006,5.57623e-05,0.00199585,0.000972339,0.000350114,,4.34488e-08
F_7.85,7.85,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,9.323000000000001e-54,7.3827e-05,5.1901e-06,0.00066591,3.5045e-06,9.6988e-08,2.0854e-11,1.1822e-05,1.1423e-09,0.00039486,1.4524e-21,9.8777e-32,2.4818e-27,2.4381e-27,1.4928e-08,1.3578e-47,55.364055576117075,5.2499e-20,0.0019085,1.3087e-12,9.443099999999999e-22,9.715099999999999e-38,4.0559e-24,2.0747e-15,0.00097017,5.2929e-08,1.2159e-10,0.00035011,2.2328e-07,1.0615e-09,8.6796e-12,1.0683e-14,2.0828e-18,5.9073e-22,6.6248e-12,4.2372e-08,7.85,-0.49484,-0.30656,-0.79789,,-8.50947,,0.791,0.791,2.2518228601e-14,0.0,0.0,0.00298506,0.0023139643947,-0.0023139643947,0.0023139643947,0.00307923,0.0046279287895,12.4236,-11.27884,-28.71274,-38.88019,-34.48028,-34.488,-10.59415,4.81087,-14.52621,6.62363,-152.90771,-50.15053,-2.86203,-43.81267,-1.98852,-0.68148,0.000681333,0.000395006,6.48799e-05,0.00200285,0.00097022,0.000350114,,4.34488e-08
F_7.80,7.8,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,1.0461e-53,8.2837e-05,4.6256e-06,0.00066628,3.1254e-06,9.7047e-08,2.0867e-11,1.1829e-05,1.0187e-09,0.00039486,1.4524e-21,9.8777e-32,2.4818e-27,2.4381e-27,1.675e-08,1.3578e-47,55.364055576117075,5.2499e-20,0.0019085,1.4684e-12,1.0595e-21,1.0900999999999999e-37,3.6148000000000004e-24,1.6431e-15,0.00096828,5.2827e-08,1.0816e-10,0.00035011,1.99e-07,1.1874e-09,9.7098e-12,1.1951e-14,2.3301e-18,6.6084e-22,5.8869e-12,4.2246e-08,7.8,-0.55936,-0.37108,-0.79955,,-8.57602,,0.794,0.794,2.1991740026e-14,0.0,0.0,0.00298374,0.0023128282262,-0.0023128282262,0.0023128282262,0.00308732,0.0046256564524,12.32386,-11.22883,-28.66274,-38.83018,-34.43028,-34.438,-10.54414,4.76003,-14.52621,6.57234,-152.8577,-50.10052,-2.81202,-43.81267,-1.98852,-0.68148,0.000681333,0.000395006,7.48599e-05,0.00201094,0.000968331,0.000350114,,4.34488e-08
F_7.75,7.75,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,1.1737e-53,9.2946e-05,4.1225e-06,0.00066661,2.787e-06,9.7099e-08,2.0879e-11,1.1835e-05,9.0837e-10,0.00039486,1.4524e-21,9.8777e-32,2.4818e-27,2.4381e-27,1.8793e-08,1.3578e-47,55.364055576117075,5.2499e-20,0.0019085,1.6476e-12,1.1887999999999998e-21,1.2231e-37,3.2217e-24,1.3008e-15,0.00096659,5.2737e-08,9.6232e-11,0.00035011,1.7735e-07,1.3278e-09,1.0858e-11,1.3365e-14,2.6057e-18,7.3901e-22,5.2292e-12,4.2105e-08,7.75,-0.62392,-0.43564,-0.80142,,-8.64277,,0.796,0.796,2.1240821602e-14,0.0,0.0,0.00298255,0.0023118156573,-0.0023118156573,0.0023118156574,0.00309661,0.0046236313147,12.22409,-11.17883,-28.61273,-38.78018,-34.38027,-34.38799,-10.49413,4.70928,-14.52621,6.5209,-152.80769,-50.05052,-2.76201,-43.81267,-1.98852,-0.68148,0.000681333,0.000395006,8.58347e-05,0.00202023,0.000966646,0.000350114,,4.34488e-08
F_7.70,7.7,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,1.317e-53,0.00010429,3.6741e-06,0.00066691,2.4852e-06,9.7146e-08,2.0889e-11,1.1841e-05,8.0996e-10,0.00039486,1.4524e-21,9.8777e-32,2.4818e-27,2.4381e-27,2.1086e-08,1.3578e-47,55.364055576117075,5.2499e-20,0.0019086,1.8487e-12,1.3338999999999998e-21,1.3723e-37,2.8713e-24,1.0294e-15,0.00096509,5.2656e-08,8.5634e-11,0.00035011,1.5806e-07,1.4842e-09,1.2138e-11,1.494e-14,2.9129e-18,8.261e-22,4.6432e-12,4.1948e-08,7.7,-0.68851,-0.50024,-0.80351,,-8.70975,,0.799,0.799,2.0383000843e-14,0.0,0.0,0.0029815,0.002310913238,-0.002310913238,0.002310913238,0.00310722,0.004621826476,12.1243,-11.12882,-28.56273,-38.73017,-34.33027,-34.33799,-10.44412,4.65861,-14.52621,6.46928,-152.75768,-50.00051,-2.71201,-43.81267,-1.98852,-0.68148,0.000681333,0.000395006,9.79496e-05,0.00203084,0.000965143,0.000350114,,4.34488e-08
F_7.65,7.65,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,1.4777e-53,0.00011702,3.2745e-06,0.00066717,2.2159e-06,9.7188e-08,2.0899e-11,1.1846e-05,7.2218e-10,0.00039486,1.4524e-21,9.8777e-32,2.4818e-27,2.4381e-27,2.3659e-08,1.3578e-47,55.364055576117075,5.2499e-20,0.0019086,2.0743e-12,1.4967e-21,1.5398e-37,2.5590000000000003e-24,8.1427e-16,0.00096375,5.2583e-08,7.6216e-11,0.00035011,1.4087e-07,1.6583e-09,1.3562e-11,1.6693e-14,3.2547e-18,9.2304e-22,4.121e-12,4.1773e-08,7.65,-0.75313,-0.56486,-0.80585,,-8.77697,,0.802,0.802,1.9496773987e-14,0.0,0.0,0.00298056,0.0023101089826,-0.0023101089826,0.0023101089826,0.0031193,0.0046202179651,12.02449,-11.07882,-28.51273,-38.68017,-34.28026,-34.28798,-10.39412,4.60801,-14.52621,6.41747,-152.70768,-49.9505,-2.662,-43.81267,-1.98852,-0.68148,0.000681333,0.000395006,0.000111365,0.00204292,0.000963802,0.000350114,,4.34488e-08
F_7.60,7.6,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,1.6579999999999998e-53,0.0001313,2.9183e-06,0.00066741,1.9757e-06,9.7225e-08,2.0907e-11,1.1851e-05,6.4389e-10,0.00039486,1.4524e-21,9.8777e-32,2.4818e-27,2.4381e-27,2.6546e-08,1.3578e-47,55.364055576117075,5.2499e-20,0.0019086,2.3274e-12,1.6792999999999998e-21,1.7277e-37,2.2807e-24,6.4379e-16,0.00096255,5.2519e-08,6.7844e-11,0.00035011,1.2555e-07,1.8519e-09,1.5146e-11,1.8643e-14,3.6349e-18,1.0308e-21,3.6558e-12,4.1578e-08,7.6,-0.81779,-0.62951,-0.80847,,-8.84447,,0.805,0.805,1.8627243845000002e-14,0.0,0.0,0.00297972,0.0023093922102,-0.0023093922102,0.0023093922102,0.003133,0.0046187844204,11.92466,-11.02881,-28.46272,-38.63017,-34.23026,-34.23798,-10.34411,4.55747,-14.52621,6.36544,-152.65767,-49.9005,-2.61199,-43.81267,-1.98852,-0.68148,0.000681333,0.000395006,0.00012626,0.00205661,0.000962607,0.000350114,,4.34488e-08
F_7.55,7.55,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,1.8604e-53,0.00014732,2.6009e-06,0.00066762,1.7615e-06,9.7258e-08,2.0914e-11,1.1855e-05,5.7406e-10,0.00039486,1.4524e-21,9.8777e-32,2.4818e-27,2.4381e-27,2.9784e-08,1.3578e-47,55.364055576117075,5.2499e-20,0.0019086,2.6114e-12,1.8842e-21,1.9385e-37,2.0327e-24,5.0871e-16,0.00096149,5.2461e-08,6.0399e-11,0.00035011,1.119e-07,2.067e-09,1.6906e-11,2.081e-14,4.0573e-18,1.1505999999999998e-21,3.2413e-12,4.1362e-08,7.55,-0.88246,-0.69419,-0.81141,,-8.91228,,0.808,0.808,1.7798913385e-14,0.0,0.0,0.00297898,0.0023087534027,-0.0023087534027,0.0023087534028,0.0031485,0.0046175068055,11.8248,-10.97881,-28.41272,-38.58016,-34.18026,-34.18798,-10.29411,4.507,-14.52621,6.31318,-152.60767,-49.85049,-2.56199,-43.81267,-1.98852,-0.68148,0.000681333,0.000395006,0.000142831,0.00207212,0.00096154,0.000350114,,4.34488e-08
F_7.50,7.5,1.1958424984549831,10.4,1.12E+01,5.40E+00,1.40E+01,2.73E+01,9.60E+01,9.00E-03,2.0874e-53,0.00016529,2.318e-06,0.00066781,1.5704e-06,9.7288e-08,2.0921e-11,1.1859e-05,5.1178e-10,0.00039486,1.4524e-21,9.8777e-32,2.4818e-27,2.4381e-27,3.3418e-08,1.3578e-47,55.364055576117075,5.2499e-20,0.0019086,2.9301e-12,2.1142e-21,2.1751e-37,1.8116e-24,4.0174e-16,0.00096054,5.241e-08,5.3778e-11,0.00035011,9.9729e-08,2.3057e-09,1.8859e-11,2.3214e-14,4.526e-18,1.2834999999999998e-21,2.872e-12,4.1121e-08,7.5,-0.94716,-0.75888,-0.81468,,-8.98044,,0.811,0.81,1.7027395119e-14,0.0,0.0,0.00297831,0.0023081840781,-0.0023081840781,0.0023081840781,0.00316602,0.0046163681562,11.72494,-10.92881,-28.36272,-38.53016,-34.13026,-34.13798,-10.2441,4.45657,-14.52621,6.26065,-152.55766,-49.80049,-2.51199,-43.81267,-1.98852,-0.68148,0.000681333,0.000395006,0.000161298,0.00208963,0.000960588,0.000350114,,4.34488e-08
