Sample,Temperature,Eh,O2,H+,HCO3-,Al+3,SbO2-,H2AsO4-,Ba+2,Be+2,Bi+3,B(OH)3,Br-,Cd+2,Ca+2,Ce+3,Cs+,Cl-,CrO4-2,Co+2,Cu+2,Dy+3,Er+3,Eu+2,F-,Gd+3,Ga+3,Au+,Hf+4,Ho+3,In+3,I-,Fe+2,La+3,Pb+2,Li+,Lu+3,Mg+2,Mn+2,Hg+2,MoO4-2,Nd+3,Ni+2,NbO3-,NO3-,NO2-,Pd+2,HPO4-2,Pt+2,K+,Pr+3,ReO4-,Rb+,Ru+3,Sm+3,Sc+3,SeO3-2,SiO2,Ag+,Na+,Sr+2,SO4-2,Tb+3,Tl+,Th+4,Tm+3,Sn+2,WO4-2,U+4,VO+2,Yb+3,Y+3,Zn+2,Zr+4
,degC,volts,ppm,pH,"Alk., mg/L CaCO3",ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppm,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppm,ppb,ppm,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppb,ppm,ppb,ppm,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb,ppb
AL 1476-09,13,0.15,7.6,6.6,229,38,0.03,2.8,15,0.1,0.03,160,0.32,0.01,77,0.05,0.056,92,1.6,2.3,0.65,0.023,0.016,0.007,0.1,0.026,0.01,0.0021,0.003,0.008,0.004,0.04,22000,0.019,0.33,42,0.004,24,560,0.2,0.4,0.042,6.5,0.01,0.03,0.02,0.09,0.001,0.02,2.7,0.009,0.004,3.6,0.02,0.015,6,0.5,11,0.2,210,1500,370,0.008,0.073,0.046,0.003,0.1,0.06,0.1,0.21,0.013,0.22,2.4,0.05
WM 2599-03,14,0.16,0.4,6.2,201,54,0.01,1.8,13,0.2,0.01,230,0.57,0.02,160,0.32,0.18,73,1.3,6.9,3.2,0.32,0.22,0.053,0.1,0.31,0.38,0.001,0.005,0.082,0.003,0.062,65000,0.089,0.1,83,0.027,38,1300,0.2,0.4,0.39,74,0.01,0.03,0.02,0.03,0.001,0.02,4.4,0.056,0.003,8.1,0.02,0.18,3.9,1.4,18,0.2,500,2500,1300,0.055,0.025,0.016,0.033,0.1,0.02,0.2,0.22,0.17,3.7,4.9,0.17
CA Cooney-Pot Ridge,12.5,0.58,5.2,3.6,-837,108000,0.02,1.3,7.3,52,0.01,22,0.018,16,110,370,0.33,1,10,3100,120,99,58,17,0.1,87,3.2,0.0025,0.97,21,0.025,0.042,55000,140,2.8,390,6.9,190,69000,0.2,0.2,240,3200,0.02,0.03,0.02,0.02,0.001,0.02,2.6,53,0.004,26,0.17,67,34,6,43,0.2,4.8,290,1900,17,0.43,1.9,8.3,0.1,0.42,0.22,15,48,480,10000,0.84
AL 0911-03,12.5,0.2,5.8,6.2,73,34,0.02,7.5,12,0.2,0.02,120,0.059,0.055,83,0.16,0.048,53,2.5,22,1.2,0.057,0.04,0.013,0.1,0.054,0.045,0.0008,0.002,0.013,0.004,0.01,31000,0.086,0.1,27,0.005,35,770,0.2,0.15,0.1,27,0.01,0.03,0.02,0.03,0.001,0.02,2.3,0.025,0.005,3.2,0.02,0.029,3.5,0.7,12,0.2,110,1500,420,0.009,0.14,0.049,0.005,0.1,0.02,0.39,0.05,0.025,1.1,16,0.04
WM 4499-04,12.5,0.22,1.3,6.4,165,54,0.01,8.2,13,0.2,0.02,140,0.09,0.025,53,0.07,0.05,69,2.9,5.3,0.8,0.09,0.052,0.012,0.1,0.077,0.045,0.001,0.004,0.02,0.002,0.018,19000,0.019,0.1,31,0.008,21,600,0.2,0.4,0.11,12,0.01,0.03,0.02,0.04,0.064,0.02,1.8,0.018,0.002,2.8,0.02,0.04,4,0.6,14,0.2,140,1300,260,0.013,0.016,0.022,0.006,0.1,0.03,0.51,0.037,0.045,1.1,9.2,0.04
WM 4499-06,13,0.2,0.4,6.5,276,12,0.01,5.9,13,0.1,0.01,210,0.22,0.01,54,0.02,0.077,86,1.5,2.6,1.3,0.006,0.008,0.003,0.1,0.005,0.09,0.0007,0.004,0.006,0.001,0.038,24000,0.008,0.1,42,0.002,16,580,0.2,0.57,0.014,12,0.01,0.03,0.02,0.1,0.001,0.02,2.6,0.003,0.004,4,0.02,0.005,8,0.3,15,0.2,330,1400,500,0.002,0.026,0.015,0.001,0.1,0.02,0.1,0.1,0.01,0.28,3.2,0.05
CA 2495-01/05,10.5,0.55,0.4,3.5,-375,20000,0.01,0.6,9,26,0.02,22,0.019,0.69,68,44,0.1,4.9,3.6,880,4.3,14,8.3,2.3,0.1,12,0.39,0.0017,0.14,3,0.009,0.009,122000,15,2.1,150,0.9,56,16000,0.2,0.4,28,900,0.01,0.03,0.02,0.02,0.001,0.02,3.4,6.3,0.001,9.5,0.03,8.7,12,0.9,27,0.2,3.3,160,750,2.4,0.18,0.38,1.2,0.1,0.065,1.2,0.91,6.3,76,2500,0.27
WM 2530-02,12.5,0.28,0.5,6.3,67,20,0.01,9.4,22,0.08,0.03,44,0.049,0.015,110,0.14,0.069,77,2.8,4,0.6,0.054,0.033,0.011,0.1,0.057,0.1,0.0057,0.003,0.011,0.003,0.013,32000,0.065,0.1,46,0.006,37,3300,0.2,0.2,0.11,12,0.01,0.03,0.02,0.02,0.008,0.02,3.3,0.022,0.001,5.8,0.02,0.025,5,0.5,16,0.2,62,670,370,0.009,0.033,0.029,0.005,0.1,0.02,0.42,0.037,0.03,0.76,8.3,0.04
CA 2491-06,10,0.43,0.6,5.1,-32,1200,0.01,0.77,14,2.5,0.02,43,0.018,0.08,79,5.4,0.067,1.3,0.6,67,0.55,1.5,0.81,0.28,0.1,1.5,0.045,0.0011,0.019,0.31,0.001,0.005,16000,1.9,0.2,39,0.086,35,2800,0.2,0.1,3.4,96,0.01,0.03,0.02,0.02,0.001,0.02,3.1,0.79,0.001,6.1,0.02,1,4.2,0.2,15,0.2,1.4,190,360,0.26,0.12,0.026,0.11,0.1,0.04,0.09,0.21,0.6,7.4,120,0.03
WM 2530-04,12.5,0.33,0.3,5.4,-24,310,0.01,7.4,11,0.5,0.01,95,0.031,0.035,95,4.1,0.085,21,0.8,47,1.2,1.1,0.48,0.26,0.1,1.4,0.095,0.0103,0.013,0.19,0.009,0.008,32000,1.2,0.1,65,0.044,41,4400,0.2,0.3,3.1,45,0.01,0.03,0.02,0.02,0.014,0.02,2.8,0.64,0.005,6,0.02,0.86,5,0.8,20,0.2,25,630,440,0.21,0.091,0.007,0.058,0.1,0.03,0.14,0.049,0.3,6.9,65,0.05
