Sample,Year,Area,pH,Temperature,logfO2,HCO3-_(input),SiO2_(input),F-_(input),Cl-_(input),Br-_(input),SO4-2_(input),NO2-_(input),NO3-_(input),Li+_(input),Na+_(input),NH4+_(input),K+_(input),Mg+2_(input),Ca+2_(input),Fe+2_(input),HS-_(input),rho_(input),redox_(input),redox_(input),redox_(input),Br-,Br3-,BrO-,BrO3-,BrO4-,CO,CO2,CO3-2,Ca(CO3),Ca(HCO3)+,Ca(HSiO3)+,Ca+2,CaCl+,CaCl2,CaF+,CaOH+,CaSO4,Cl-,ClO-,ClO2-,ClO3-,ClO4-,F-,Fe+2,Fe+3,FeCl+,FeCl2,FeF+,FeF+2,FeO,FeO+,FeO2-,FeOH+,FeOH+2,H+,H2,H2N2O2,H2O,H2O2,H2S,HBrO,HCO3-,HCl,HClO,HF,HF2-,HFeO2,HFeO2-,HN2O2-,HNO2,HNO3,HO2-,HS-,HSO3-,HSO4-,HSO5-,HSiO3-,K+,KBr,KCl,KHSO4,KOH,KSO4-,Li+,LiCl,LiOH,Mg(CO3),Mg(HCO3)+,Mg(HSiO3)+,Mg+2,MgCl+,MgF+,MgOH+,MgSO4,N2,N2O2-2,NH3,NH4+,NO2-,NO3-,Na+,NaBr,NaCl,NaF,NaHSiO3,NaOH,NaSO4-,O2,OCN-,OH-,S2O5-2,S2O6-2,S2O8-2,SO2,SO3-2,SO4-2,SiF6-2,SiO2,akermanite,andradite,anhydrite,anthophyllite,antigorite,aragonite,artinite,brucite,calcite,chalcedony,chrysotile,coesite,cristobalite,"cristobalite,alpha","cristobalite,beta",diopside,dolomite,enstatite,fluorite,forsterite,goethite,halite,hematite,huntite,hydromagnesite,magnesite,magnetite,merwinite,monticellite,nesquehonite,periclase,pyrite,quartz,sepiolite,sylvite,talc,tremolite,wollastonite,DEFAULT,HS-/SO4-2,NH4+/NO3-,NO2-/NO3-,%CI of mean,%CI of total,Charge imbalance,IS (molal),Mean charge,Sigma(mz) anions,Sigma(mz) cations,Total charge,stoichiometric IS (molal),Log(Br- x H+**1),Log(Br3- x H+**1),Log(BrO3- x H+**1),Log(BrO4- x H+**1),Log(CN- x H+**1),Log(Ca+2 / H+**2),Log(Cl- x H+**1),Log(ClO- x H+**1),Log(ClO2- x H+**1),Log(ClO3- x H+**1),Log(ClO4- x H+**1),Log(F- x H+**1),Log(Fe+2 / H+**2),Log(Fe+3 / H+**3),Log(HCO3- x H+**1),Log(HS- x H+**1),Log(HSO5- x H+**1),Log(K+ / H+**1),Log(Li+ / H+**1),Log(Mg+2 / H+**2),Log(N2H5+ / H+**1),Log(N2O2-2 x H+**2),Log(NH4+ / H+**1),Log(NO2- x H+**1),Log(NO3- x H+**1),Log(Na+ / H+**1),Log(OCN- x H+**1),Log(S2-2 x H+**2),Log(S2O3-2 x H+**2),Log(S2O4-2 x H+**2),Log(S2O5-2 x H+**2),Log(S2O6-2 x H+**2),Log(S2O8-2 x H+**2),Log(S3-2 x H+**2),Log(S3O6-2 x H+**2),Log(S4-2 x H+**2),Log(S4O6-2 x H+**2),Log(S5-2 x H+**2),Log(S5O6-2 x H+**2),Log(SCN- x H+**1),Log(SO3-2 x H+**2),Log(SO4-2 x H+**2),Log(SiF6-2 x H+**2)
090118N,0.0,0.0,9.7,17.5,-6.0,0.002324343,7.46e-05,0.0,0.006612022,4.68e-06,0.000196126,0.0,0.0,5.58e-07,0.006223638,0.0,0.000165199,0.001114585,0.000261976,0.0,0.0,0.9987197638881592,0,-6.0000E+00,Log fO2 (log bars) [from logfO2 column],-5.3739,-32.6368,-20.8669,-36.1164,-56.8897,-51.0559,-6.1227,-3.5393,-4.1713,-5.6676,-7.4046,-3.8994,-6.4379,-8.9437,,-7.3912,-5.7289,-2.2257,-22.0516,-34.6949,-33.1232,-35.9042,,,,,,,,,,,,,-9.7,-42.948,,-0.000125301,-21.5121,,-21.8943,-2.8272,-12.5817,-24.1309,,,,,,,,-23.6506,,-49.8855,-11.7261,-35.9555,-4.5209,-3.8314,-11.0033,-8.6807,-19.114,-8.8721,-6.8794,-6.3011,-10.0508,-10.5126,-3.7908,-4.9834,-6.4367,-3.2038,-5.5542,,-5.4695,-4.9148,,,,,,,-2.2552,-9.0145,-5.2727,,-4.8335,-7.0232,-5.4902,-8.8304,,-4.5656,,-75.8713,-55.0436,-57.7878,-47.3653,-3.9297,,-4.5829,,,-4.76451,10.66962,173.35203,1.15826,-0.5089,-0.81535,1.35069,-0.89207,9.8123,-1.62566,-1.27691,-1.27691,-1.89573,1.37469,5.15025,-0.06946000000000001,,-1.2695100000000001,,-8.03229,,3.8999800000000002,-1.76626,1.57076,,,-4.426480000000001,-1.69475,-7.75025,,-0.52184,8.45663,-9.05976,11.43706,16.68123,-4.19514,0.59,,,,-10.2969,-5.1484,-0.0009347127130800001,0.010800200000000001,0.009077617488,-0.009544973844600001,0.0086102611315,0.018155234976,0.0111825,-15.073879999999999,-42.33679,-45.816390000000006,-66.58973,,15.500639999999999,-11.92571,-31.751559999999998,-44.394870000000004,-42.823170000000005,-45.60423,,,,-12.52721,,-45.65551,5.868580000000001,3.3989300000000005,16.19621,,,,,,7.444780000000001,,-266.04845,-166.429,-155.32941,-123.97836000000001,-95.2713,-74.4436,,-202.79616000000001,-476.27415,-294.13948999999997,,-414.8425,,-66.76526,-23.32969,
140112L,0.0,0.0,9.8,21.3,-6.0,0.001880592,0.000111,8.75e-07,0.00375,3.48e-06,0.000243,0.0,3.65e-05,2.09e-07,0.00372,3.38e-06,0.000106,0.00115,0.000313,7.16e-07,2.19e-07,0.9979518605943479,0,-6.0000E+00,Log fO2 (log bars) [from logfO2 column],-5.4976,-33.3348,-20.9269,-36.1137,-56.7023,-50.6436,-6.3868,-3.5385,-4.0541,-5.7234,-7.0559,-3.8167,-6.5828,-9.3626,-9.2395,-7.0279,-5.5248,-2.4666,-22.1543,-34.7026,-33.2181,-36.058,-6.1042,-20.2745,-23.5818,-22.8973,-33.5844,-24.9424,-23.7212,-21.3412,-9.8216,-6.4176,-19.9038,-16.0836,-9.8,-42.2956,-62.5172,-8.277540000000001e-05,-21.2917,-9.4493,-22.1004,-2.9644,-12.9469,-24.3669,-12.7604,-19.5003,-6.5265,-20.3935,-59.8002,,-15.6121,-23.2554,-6.7005,-49.2202,-11.6711,-35.6389,-4.2563,-4.0182,-11.2818,-9.0629,-19.2005,-8.8084,-6.9509,-6.7218,-10.7038,-10.7017,-3.7473,-5.0958,-6.1561,-3.179,-5.7712,-7.9204,-5.1995,-4.7675,-14.2951,-61.0737,-5.6173,-6.0579,,-4.4779,-2.4736,-9.3396,-5.7222,-9.584,-4.84,-7.0094,-5.5891,-8.8616,-69.9369,-4.3327,,-75.0121,-54.5897,-57.1876,-46.6172,-3.8177,-53.7815,-4.4555,-9.20226,15.77191,-4.5151699999999995,15.740739999999999,206.21878999999998,1.31209,0.17757,-0.17438,1.50676,-0.8395299999999999,11.85713,-1.57397,-1.2224899999999999,-1.2224899999999999,-1.8349400000000002,2.81947,5.44334,0.65361,-8.00881,0.12485999999999998,7.232139999999999,-8.77086,15.14373,4.48462,-0.62197,1.7106400000000002,0.0068,,-3.0265400000000002,-1.7177,-7.07932,29.484720000000003,-0.46929,11.24951,-9.81288,13.610370000000001,21.7458,-3.4674699999999996,0.573,-0.373,0.179,,-3.5248,-1.7624,-0.00022024061849,0.00803748,0.0062483484096000005,-0.0063584687187999995,0.006138228100300001,0.012496696819,0.00857386,-15.29757,-43.13482,-45.91368,-66.50227,-124.67761000000002,15.78329,-12.266630000000001,-31.954290000000004,-44.50257,-43.01809,-45.85799,-15.90415,-0.6744600000000001,5.81821,-12.76441,-16.50046,-45.43894,5.78183,3.07821,16.42099,-103.97411,-80.67366,3.74211,,-14.2779,7.32643,-79.73692,-262.60314,-164.56706,-153.70193,-122.85488000000001,-94.61211,-74.18973000000001,-236.79601,-200.77749,-470.13926,-290.89921,-444.77736,-410.14087,-215.24428999999998,-66.21723,-23.41769,-73.38153
120114N,0.0,0.0,9.8,21.8,-6.0,0.002244045,0.00013288,3.65e-07,0.003174855,8.93e-07,0.00020654,6.84e-07,4.84e-05,1.74e-06,0.003777758,1.17e-06,8.3e-05,0.001082082,0.000279,0.0,6.35e-07,0.9978394857088752,0,-6.0000E+00,Log fO2 (log bars) [from logfO2 column],-6.0878,-35.1217,-21.5088,-36.6875,-57.2521,-50.4764,-6.3074,-3.451,-4.0387,-5.7172,-7.0518,-3.8932,-6.7292,-9.5849,-9.6933,-7.081,-5.6652,-2.5384,-22.2081,-34.744,-33.2709,-36.1184,-6.4827,,,,,,,,,,,,-9.8,-42.2108,-62.1638,-8.05459e-05,-21.2632,-8.9937,-22.6883,-2.8817,-13.0216,-24.4249,-13.135,-20.2513,,,-59.4414,-12.7435,-15.4842,-23.2173,-6.2376,-49.2004,-11.7305,-35.6644,-4.1761,-4.1237,-11.9733,-9.2342,-19.3595,-8.8944,-7.1211,-5.8008,-9.8533,-9.7637,-3.6975,-5.053,-6.1169,-3.2191,-5.8829,-8.3388,-5.2206,-4.8713,-14.0143,-60.7058,-6.0735,-6.5296,-6.2035,-4.3548,-2.4665,-9.9205,-5.7856,-9.9536,-4.7594,-6.9853,-5.6461,-8.8656,-69.5913,-4.3155,,-75.0338,-54.664,-57.1631,-46.5999,-3.8829,-56.0005,-4.3801,-9.15981,,-4.707380000000001,16.39136,208.76716000000002,1.33284,0.23421,-0.18345999999999998,1.5278,-0.75298,12.00521,-1.48753,-1.1356899999999999,-1.1356899999999999,-1.74731,2.92275,5.54223,0.735,-9.15316,0.20121,,-8.87486,,4.7415400000000005,-0.32561,1.78888,,,-3.00878,-1.661,-7.084410000000001,,-0.38273,11.72103,,13.934679999999998,22.276889999999998,-3.4447900000000002,0.5710000000000001,-0.37799999999999995,0.182,0.304,-4.0525,-2.0263,-0.00024514419983,0.00777419,0.006049153990100001,-0.00617172609,0.005926581890199999,0.012098307979999999,0.00827602,-15.88778,-44.921659999999996,-46.48748,-67.05206,-124.2426,15.70677,-12.33837,-32.00809,-44.54402,-43.07085,-45.91838,-16.28272,,,-12.6817,-16.03756,-45.46437,5.67631,3.9992199999999998,16.38092,-103.51979,-80.30578,3.27037,-16.003510000000002,-14.15479,7.333489999999999,-79.39126,-262.26321,-164.43266,-153.59795,-122.81631999999999,-94.63382,-74.26402,-236.07594,-200.67628,-469.55728,-290.69293999999996,-443.81452,-409.7985,-214.70954,-66.19986,-23.482870000000002,-75.60051
100107E,0.0,0.0,10.1,26.9,-6.0,0.000679615,0.000213989,1.05e-06,0.004860836,0.0,0.000497739,0.0,0.0,1.07e-05,0.00489456,0.0,9.74e-05,0.000885415,0.000141043,0.0,0.0,0.9965530296915335,0,-6.0000E+00,Log fO2 (log bars) [from logfO2 column],,,,,,-50.5894,-7.3013,-3.7674,-4.5419,-6.6109,-6.9975,-4.1262,-6.7587,-9.4718,-9.4531,-6.7795,-5.5044,-2.355,-21.845,-34.2571,-32.8972,-35.8211,-6.0245,,,,,,,,,,,,-10.1,-41.3608,,-9.18269e-05,-20.9772,,,-3.5445,-13.1667,-24.4032,-12.9361,-19.5728,,,,,,-22.5365,,-48.2681,-11.5918,-35.1841,-3.8938,-4.0566,,-8.9235,-19.0925,-8.3339,-6.668,-5.0137,-8.8697,-8.5069,-4.051,-5.7748,-5.9055,-3.2817,-5.7603,-7.9387,-4.7936,-4.5389,,,,,,,-2.3575,,-5.4791,-9.366,-4.435,-6.4063,-5.1458,-8.9037,,-3.8453,,-73.7837,-53.9405,-56.4819,-45.3934,-3.5037,-54.7422,-4.4471,-6.57672,,-4.51593,23.044539999999998,258.33481,0.64303,0.9304100000000001,1.01217,0.8410299999999999,-0.99549,15.12977,-1.73118,-1.37566,-1.37566,-1.979,4.56987,4.48077,1.72848,-8.42721,2.4319,,-8.64428,,2.9546900000000003,-0.69058,1.4181700000000002,,,-1.10835,-2.25273,-5.8474900000000005,,-0.62524,14.9296,-9.98131,16.606460000000002,28.245070000000002,-2.78281,0.537,,,,-2.9395,-1.4698,-0.00019940841751,0.00834128,0.006783737287399999,-0.006883441496199999,0.0066840330787,0.013567474575,0.00867948,,,,,,16.07382,-12.455,-31.945009999999996,-44.35709,-42.997209999999995,-45.921079999999996,-16.12452,,,-13.64453,,-45.284079999999996,6.0434,5.08627,16.91829,,,,,,7.7424800000000005,,-257.9889,-162.21812,-151.68821,-121.56226000000001,-93.98371999999999,-74.1405,,-198.35929,-461.98683,-286.8876,,-404.1945,,-65.59338000000001,-23.703670000000002,-74.94218000000001
120119B,0.0,0.0,10.1,24.0,-6.0,6.62e-05,5.95e-06,2.25e-07,0.004274568,2.5e-06,0.000117331,4.29e-07,2.58e-05,6.38e-07,0.002305565,0.0,7.96e-05,3.26e-05,0.00114,0.0,4.54e-07,0.9973152604349543,0,-6.0000E+00,Log fO2 (log bars) [from logfO2 column],-5.6366,-34.4381,-21.0215,-36.1647,-56.6245,-52.1576,-8.372,-4.8809,-4.6505,-6.669,-7.4891,-3.0949,-5.7889,-8.529,-9.0905,-5.8805,-5.0859,-2.4047,-21.9962,-34.4783,-33.0544,-35.9352,-6.6843,,,,,,,,,,,,-10.1,-41.8409,-62.8338,-6.12787e-05,-21.1386,-9.4659,-22.5266,-4.6322,-13.2008,-24.5313,-13.6192,-20.9276,,,-59.7875,-13.2619,-16.0316,-22.7511,-6.3786,-49.3545,-12.2301,-36.0154,-5.4135,-4.1368,-11.5168,-9.0876,-19.8458,-8.523,-7.3566,-6.2319,-10.1453,-9.8207,-6.5347,-8.2205,-8.7764,-4.6372,-7.167,-9.957,-6.2562,-6.5078,-15.0001,-60.7129,,,-6.402,-4.6237,-2.6744,-9.6671,-5.8538,-10.3543,-6.234,-6.8189,-6.074,-8.8825,-71.3003,-3.9411,,-75.6093,-55.4688,-57.5963,-46.4647,-4.1079,-60.0677,-5.9388,,,-3.9327400000000003,-7.39615,90.74915,0.5009600000000001,-4.5445400000000005,-1.09825,0.69724,-2.93797,4.9006,-3.6730099999999997,-3.31958,-3.31958,-3.9276,-0.27426,0.9012,-2.34748,-8.708219999999999,-3.77826,,-9.04979,,-7.5101,,-2.01988,,,-4.01619,-5.5647199999999994,-7.98154,,-2.56772,-5.09892,,2.4738700000000002,4.42301,-3.55576,0.547,-0.40399999999999997,,0.27899999999999997,-0.977,-0.4885,-4.5764655718e-05,0.00594746,0.0046842773551,-0.0047071596829,0.0046613950272,0.0093685547101,0.00604381,-15.73657,-44.538140000000006,-46.26471,-66.72448,-125.86187,17.105079999999997,-12.50475,-32.09623,-44.57827,-43.15444,-46.03524,-16.78431,,,-14.73223,-16.478579999999997,-46.1154,5.9632,3.8680800000000004,15.56282,-103.74939,-80.91289,,-16.502010000000002,-14.72369,7.425619999999999,-81.4003,-261.86093,-164.92705,-154.22506,-123.72885,-95.80927,-75.6688,-236.47545,-201.85561,-469.1792,-291.95396,-444.23509,-411.00592,-216.43372999999997,-66.66471,-24.307879999999997,-80.26771
140111H,0.0,0.0,10.2,20.2,-6.0,0.00179646,0.000145,2.55e-06,0.00308,1.89e-06,0.000182,1.61e-07,1.25e-05,1.29e-06,0.00359,3.8e-06,7.94e-05,0.00117,0.000214,1.79e-07,1.22e-06,0.9981900054667731,0,-6.0000E+00,Log fO2 (log bars) [from logfO2 column],-5.7615,-34.8907,-21.2091,-36.4139,-57.0556,-51.4122,-6.9612,-3.331,-4.0827,-6.1312,-7.0756,-4.0429,-6.8972,-9.7519,-9.0022,-6.9058,-5.8704,-2.5509,-22.2782,-34.8537,-33.3442,-36.1673,-5.6379,-21.904,-25.5445,-24.6122,-35.4461,-26.1057,-25.2304,-22.2472,-11.0384,-6.8997,-21.1674,-17.6749,-10.2,-42.4829,-64.4822,-7.48816e-05,-21.3549,-9.0856,-22.7695,-3.1462,-13.4243,-24.8814,-12.7028,-18.9814,-7.382,-20.9148,-61.3775,-13.7563,-16.487,-22.9399,-5.9529,-49.9244,-12.2002,-36.2432,-4.0492,-4.1422,-11.679,-9.2842,-19.8667,-8.5754,-7.1925,-5.9301,-9.9989,-9.5477,-3.5735,-5.3062,-5.975,-3.2073,-5.8837,-7.4829,-4.8695,-4.9155,-16.0999,-62.271,-5.4891,-6.2953,-6.8311,-4.9421,-2.4887,-9.6237,-5.8245,-9.1372,-4.633,-6.6624,-5.7231,-8.8528,-71.2921,-3.9706,,-76.2852,-55.7465,-58.3021,-46.9163,-3.9342,-52.7152,-4.6377,-7.333710000000001,14.98059,-4.97283,20.56307,243.92362999999997,1.27414,1.35134,0.76249,1.46817,-1.05053,14.240860000000001,-1.78472,-1.43403,-1.43403,-2.04831,4.0111,5.61496,1.37087,-7.018269999999999,1.77014,6.12723,-8.86744,12.924,5.0716,1.16895,1.92003,-3.3476800000000004,,-1.62618,-1.46096,-6.15121,29.49346,-0.68028,13.75625,,15.565270000000002,26.083470000000002,-2.99485,0.5529999999999999,-0.40299999999999997,0.151,0.285,-1.4828,-0.7414,-8.458091524600001e-05,0.00752834,0.005704028674399999,-0.0057463191321,0.0056617382168,0.011408057349,0.00805132,-15.96154,-45.09065,-46.61392,-67.25556999999999,-126.63035,16.357120000000002,-12.750869999999999,-32.47818,-45.05375,-43.54424,-46.36727,-15.83791,-1.50396,5.05546,-13.34625,-16.15292,-46.44318,6.05783,4.2699,17.19266,-106.16248,-82.67104,3.9047199999999997,-17.03112,-15.14207,7.71125,-81.49212,-265.47589,-166.98536000000001,-156.05293999999998,-125.06123999999998,-96.68521,-76.14654,-239.13817000000003,-204.18287,-475.66815999999994,-295.59734,-449.77727000000004,-416.20047,-218.47805,-67.31631,-24.334220000000002,-73.11521
100113AN,0.0,0.0,10.2,28.6,-6.0,0.001655988,0.000156558,5.97e-07,0.00331571,0.0,0.00039851,0.0,6.61e-05,8.11e-06,0.003834128,0.0,0.000105935,0.001432627,0.002170767,0.0,1.36e-06,0.9960702769927577,0,-6.0000E+00,Log fO2 (log bars) [from logfO2 column],,,,,,-50.3206,-7.3201,-3.5626,-3.2001,-5.3977,-5.9792,-3.0048,-5.8015,-8.6989,-8.5806,-5.4818,-4.534,-2.5265,-21.9579,-34.3295,-33.0065,-35.9552,-6.279,,,,,,,,,,,,-10.2,-41.0833,-61.2787,-9.15805e-05,-20.8841,-9.1622,,-3.4541,-13.4467,-24.629,-13.2768,-20.1612,,,-58.0844,,-15.689,-22.313,-5.913,-48.2452,-11.8277,-35.3082,-3.9992,-4.0256,,-9.0441,-19.2769,-8.1403,-6.7904,-5.1396,-9.1624,-8.4778,-3.669,-5.5139,-5.8446,-3.1133,-5.762,-8.0225,-4.4631,-4.5209,-14.09,-58.8322,,,,-4.2261,-2.4679,,-5.756,-9.7239,-4.6723,-6.3616,-5.4078,-8.9156,-68.5741,-3.6904,,-73.9387,-54.2671,-56.5422,-45.2796,-3.6598,-56.9614,-4.6689,-2.67958,,-3.18359,24.93126,278.31793999999996,2.49296,2.11633,1.67757,2.69197,-1.3512899999999999,16.42194,-2.08737,-1.7306099999999998,-1.7306099999999998,-2.33125,6.49539,6.89418,2.05166,-7.6458699999999995,3.43451,,-9.08763,,6.50111,2.20372,1.9819799999999999,,,1.17667,-1.7630599999999998,-5.16812,,-0.98105,15.41615,,17.19794,32.688309999999994,-1.17761,0.526,-0.42200000000000004,,,49.1697,24.5848,0.0036552056339,0.0108241,0.007433862482800001,-0.0056062596658,0.009261465299700001,0.014867724966,0.0133293,,,,,-122.43798000000001,17.39518,-12.726460000000001,-32.15785,-44.52947,-43.206509999999994,-46.15525,-16.47899,,,-13.654129999999999,-16.113,-45.50824,6.17437,5.06037,17.2867,-101.29406999999999,-79.23218,,,-14.426120000000001,7.732069999999999,-78.77411,-257.16152,-162.06271,-151.63218999999998,-121.72015,-94.33865,-74.66705999999999,-232.14722999999998,-198.45345,-460.65005999999994,-286.77905,-436.07072999999997,-403.78237,-211.28492000000003,-65.67965,-24.05981,-77.36138000000001
100109W,0.0,0.0,10.3,20.8,-6.0,0.001930292,0.000119172,8.58e-07,0.003347067,0.0,0.00020801,6.65e-07,0.0,8.15e-06,0.004146863,0.0,6.81e-05,0.001191524,0.00027197,0.0,0.0,0.9980616679956629,0,-6.0000E+00,Log fO2 (log bars) [from logfO2 column],,,,,,-51.4467,-7.1019,-3.2617,-3.938,-6.0979,-7.0855,-3.9729,-6.7905,-9.6158,-9.4051,-6.7075,-5.7469,-2.5164,-22.222,-34.7827,-33.2868,-36.1191,-6.1123,,,,,,,,,,,,-10.3,-42.3806,,-8.21043e-05,-21.3204,,,-3.1828,-13.4935,-24.9303,-13.2725,-20.0228,,,,-13.2474,,-22.7938,,-49.87,-12.2415,-36.2434,-4.1295,-4.2107,,-9.3111,-19.9694,-8.5204,-7.2086,-5.1313,-9.1641,-8.6283,-3.517,-5.3584,-6.0723,-3.223,-5.8649,-7.9728,-4.7624,-4.8777,,,,,-6.2166,,-2.4273,,-5.727,-9.5479,-4.6601,-6.4804,-5.6086,-8.8576,,-3.8499,,-76.2503,-55.7752,-58.3421,-46.7647,-3.8823,-56.1756,-4.8238,-6.736610000000001,,-4.81113,20.56375,249.41325,1.46845,1.7298200000000001,1.0664799999999999,1.66282,-1.31969,14.617170000000002,-2.05402,-1.7029,-1.7029,-2.31618,4.1925300000000005,5.89866,1.41039,-8.22149,2.11848,,-8.75883,,5.53615,1.82192,2.00953,,,-1.17435,-1.39729,-5.84245,,-0.94945,13.34346,,15.406979999999999,26.2883,-2.8519900000000002,0.545,,,0.545,-0.4694,-0.2347,-2.9298836486999997e-05,0.00821902,0.0062412529185,-0.006255902336800001,0.0062266035003,0.012482505837,0.00883624,,,,,,16.62714,-12.816360000000001,-32.522,-45.08267,-43.58683,-46.41908,-16.4123,,,-13.48281,,-46.543409999999994,6.08931,5.168740000000001,17.37696,,,,-16.51661,,7.87265,,-265.20416,-166.9619,-156.06624,-125.15357,-96.85034,-76.37521,,-204.26901999999998,-475.24305999999996,-295.6261,,-416.13428999999996,,-67.3647,-24.48234,-76.7756
140110D,0.0,0.0,10.4,21.8,-6.0,0.00081233,9.14e-05,3.09e-07,0.00479,4.7e-06,0.00018,0.0,2.68e-05,2.31e-07,0.00492,6.61e-06,0.000139,0.000782,0.000475,1.79e-07,1.31e-06,0.9978394857088752,0,-6.0000E+00,Log fO2 (log bars) [from logfO2 column],-5.3675,-34.1607,-20.7885,-35.9672,-56.5318,-51.8454,-7.6765,-3.62,-3.9279,-6.2064,-6.8402,-3.6135,-6.2719,-8.95,-9.4856,-6.2012,-5.4476,-2.3608,-22.0305,-34.5664,-33.0933,-35.9408,-6.5548,-22.5367,-26.4743,-25.0532,-35.606,-27.6554,-27.0585,-22.3689,-11.4896,-6.8562,-21.5507,-18.3632,-10.4,-42.2108,-63.8792,-9.1485e-05,-21.2632,-9.2796,-22.568,-3.6507,-13.444,-24.8473,-13.8071,-20.9955,-7.5771,-20.8143,-60.5568,,-16.3419,-22.6173,-5.9235,-49.8626,-12.3927,-36.3265,-4.2442,-3.9008,-11.0301,-8.8337,-19.7988,-8.0716,-6.9604,-6.6789,-10.5538,-10.0418,-3.9881,-5.9436,-6.3066,-3.3406,-5.8269,-8.5324,-4.7422,-5.0551,-15.7296,-61.2212,-5.22,-6.2762,,-4.6125,-2.3526,-9.0863,-5.4941,-9.9118,-4.7137,-6.2714,-5.5944,-8.8656,-71.218,-3.7155,,-76.3581,-55.9883,-58.4253,-46.662,-3.945,-59.501,-5.0482,-5.5135,16.25067,-4.41369,19.36586,247.97102,1.48231,1.29746,1.27201,1.6772799999999999,-1.65471,14.56817,-2.3892700000000002,-2.03743,-2.03743,-2.64905,4.57191,5.29951,1.28875,-8.97011,2.21044,5.79453,-8.48148,12.27303,3.71445,-0.43893999999999994,1.39669,-4.28792,,-0.45788999999999996,-2.05323,-5.62893,28.44268,-1.28447,12.13245,-9.535789999999999,14.69418,26.3347,-2.34938,0.536,-0.42,0.134,,10.4012,5.2006,0.0006976147348099999,0.00821476,0.0067070426487,-0.0063582352813,0.0070558500161000005,0.013414085297,0.00866857,-15.767470000000001,-44.56072,-46.36717,-66.93175,-126.4693,17.18654,-12.760769999999999,-32.43049,-44.966429999999995,-43.49326,-46.340790000000005,-16.95479,-1.7367400000000002,4.72574,-14.050720000000002,-16.323520000000002,-46.72653,6.49918,3.72108,17.45935,-105.23517,-82.02115,4.1237699999999995,,-15.012479999999998,8.047369999999999,-81.61795,-264.78752000000003,-166.95696999999998,-156.12226,-125.34064,-97.15813,-76.78834,-238.8862,-204.46275,-474.6059,-295.74156,-449.14907999999997,-416.10926,-218.19838,-67.46202,-24.74503,-80.30103000000001
100113AO,0.0,0.0,10.4,27.4,-6.0,0.001396959,0.000138007,4.63e-07,0.003556825,0.0,0.000362142,0.0,3.87e-05,8.17e-06,0.004179408,1.12e-05,0.000108352,0.001298087,0.000518988,0.0,7.56e-07,0.9964137385464344,0,-6.0000E+00,Log fO2 (log bars) [from logfO2 column],,,,,,-50.7471,-7.5439,-3.403,-3.7118,-6.0893,-6.6769,-3.6651,-6.4319,-9.2853,-9.3485,-5.9959,-5.1939,-2.4915,-21.9642,-34.3643,-33.0153,-35.9466,-6.3826,,,,,,,,,,,,-10.4,-41.2789,-62.3832,-8.51792e-05,-20.9497,-9.5971,,-3.4844,-13.6057,-24.8262,-13.5902,-20.5829,,,-59.0011,,-16.129,-22.2,-6.1636,-48.6379,-12.038,-35.5973,-4.0349,-4.0109,,-9.0085,-19.4869,-7.9697,-6.7737,-5.1319,-9.123,-8.3088,-3.5786,-5.6087,-5.942,-3.1763,-5.7911,-8.1908,-4.3699,-4.5839,-15.0282,-59.5687,-4.9784,-6.2059,,-4.4543,-2.4258,,-5.6824,-9.7903,-4.6508,-6.1582,-5.3649,-8.9072,-69.3554,-3.5291,,-74.5825,-54.7899,-57.1467,-45.4658,-3.6558,-58.5577,-4.8931,-3.8112800000000004,,-4.09117,25.156229999999997,285.8025,1.7838200000000002,2.5942,2.0283599999999997,1.9821099999999998,-1.62345,16.92463,-2.35926,-2.00337,-2.00337,-2.6059099999999997,5.832730000000001,6.28175,2.12069,-8.79697,3.8444,,-8.94181,,6.07785,2.95909,2.0784599999999998,,,0.78355,-1.61419,-4.82721,,-1.25321,15.21481,,17.14858,31.313129999999997,-1.9113200000000001,0.518,-0.43,0.11800000000000001,,10.4162,5.2081,0.0006795809346000001,0.00869511,0.0065242708993,-0.006184480431999999,0.006864061366600001,0.013048541799000002,0.00978072,,,,,-123.62518,17.13492,-12.89148,-32.36418,-44.76432,-43.41534,-46.34656,-16.782610000000002,,,-13.884379999999998,-16.56364,-45.99727,6.38906,5.26814,17.62366,-102.63073,-80.36865,4.1941,,-14.85431,7.97422,-79.75545,-259.03861,-163.46622,-152.96566,-122.90285,-95.38249,-75.58994,-234.28502000000003,-200.32809,-464.18019000000004,-289.44358,-439.86321,-407.30786,-213.24962999999997,-66.2658,-24.45577,-79.35765
