,Year,Area,H+,Temperature,logfO2,HCO3-,SiO2,F-,Cl-,Br-,SO4-2,NO2-,NO3-,Li+,Na+,NH4+,K+,Mg+2,Ca+2,Fe+2,HS-
,,,pH,degC,logfO2,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality
120123E,,,10.7,28.3,-6,0.000394578,0.00000829,3.58E-07,0.00757673,0.00000447,0.0004202,,,0.000003,0.004048865,,0.000111018,0.0000102,0.00773,,
090122C,,,10.8,18.5,-6,0.000352369,0.0000178,,0.00794625,3.22E-06,0.000296,,,0.00000317,0.008792607,,0.000189113,0.00030504,0.001347305,,
140111I,,,10.9,18.8,-6,0.000846059,0.0001,0.000000171,0.00369,0.00000236,0.000154,0.000000296,0.0000084,0.0000015,0.00436,0.00000597,0.0000976,0.000807,0.000368,,0.00000203
090122A,,,10.9,17.4,-6,0.000463205,0.0000363,1.05E-07,0.00782903,2.96E-06,0.000346964,,,0.00000303,0.008216264,,0.000169342,0.000860317,0.000494,,
120129G,,,11,37.3,-6,0.0000533,0.00000282,,0.005107619,0.00000104,0.00000132,0.000000438,,0.00000334,0.005193367,,0.000145644,0.000000634,0.00148,,
120119C,,,11,33.7,-6,0.0000839,0.00000272,1.05E-07,0.008118602,0.00000833,0.0000093,,,0.000000568,0.00528595,1.41E-05,0.000122155,0.00000419,0.00347,,0.00000169
100112AG,,,11.1,37.7,-6,0.0000439,0.00000137,0.00000806,0.005730438,,0.00000113,,3.39E-05,0.00000994,0.00613987,9.39E-06,0.000149876,0.000000646,0.001727112,,0.00000321
120119A,,,11.1,29.1,-6,0.0000941,0.00000278,1.26E-07,0.007677889,0.00000761,0.0000092,,1.61E-05,0.000000648,0.00539806,1.12E-05,0.000117305,0.00000568,0.00342,,
100112AH,,,11.2,38.4,-6,0.0000527,0.00000143,0.00000113,0.005772975,0.00000131,,,4.68E-05,0.0000166,0.006751275,2.06E-05,0.000136027,0.000000337,0.001576021,,0.00000348
100109V,,,11.2,23.7,-6,0.000658573,0.0000517,0.000000625,0.00424895,,0.000121085,,,0.00000837,0.005602713,,0.0000988,0.000347377,0.00046659,,0.00000366
120116P,,,11.2,34.3,-6,0.0000579,0.0000017,1.75E-08,0.004485511,0.00000106,0.00000178,0.000000384,4.35E-05,0.00000328,0.005451044,1.82E-05,0.000128054,0.00000249,0.00167,,0.00000281
140115Z,,,11.3,32.2,-6,0.0000336,0.00000138,,0.0126,0.00000919,0.00000263,,0.000000124,0.00000524,0.0171,0.0000876,0.000327,0.000000409,0.00237,0.0000124,0.00000625
120111C,,,11.3,31.9,-6,0.0000681,0.0000064,3.51E-08,0.004935661,0.00000167,0.00000952,0.00000147,0.000138699,0.00000223,0.005407142,2.29E-05,0.000146284,0.00000107,0.00172,,0.0000137
120113L,,,11.3,28.4,-6,0.00015596,0.0000264,8.42E-08,0.010323865,0.00000414,0.00000884,0.00000196,2.58E-05,0.0000033,0.012790398,,0.000330298,0.000000963,0.000729,,
100107A,,,11.3,32.4,-6,0.000113987,0.0000372,,0.007249926,,0.0000699,,0.00031933,0.0000213,0.007180316,2.17E-05,0.000115628,0.000000214,0.002060367,,0.000117468
