ID,Year,Temperature,Pressure,H+,HCO3-,O2,HS-,SiO2,CH4,H2,CO,F-,Cl-,Br-,SO4-2,HPO4-2,NO2-,NO3-,Li+,Na+,NH4+,K+,Mg+2,Ca+2,Be+2,B(OH)3,Al+3,Ti+4,VO+2,CrO4-2,Mn+2,Co+2,Ni+2,Cu+2,Zn+2,Ga+3,H2AsO4-,Rb+,Sr+2,Y+3,Zr+4,NbO3-,MoO4-2,Cd+2,Sn+2,SbO2-,Cs+,Ba+2,La+3,Hf+4,WO4-2,Tl+,Pb+2,Th+4,U+4,Fe+2,Fe+3
,,degC,bar,pH,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality
140731ST,2014,38.5,1,3.52,0.00307244,8.44E-05,4.37E-07,0.004701594,4.35E-08,7.83E-08,8.63E-08,0.000214229,0.003097904,4.13E-06,0.002796086,0,5.22E-08,1.61E-07,0.000203141,0.009046107,1.39E-05,0.001293672,5.10E-05,0.000308383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15E-05,0
140731SS,2014,75.7,1,1.886,0.000491257,2.56E-05,5.68E-06,0.001660953,4.54E-09,2.65E-08,2.16E-08,3.74E-06,5.92E-06,0,0.011707089,1.68E-07,1.02E-07,4.03E-07,1.73E-07,4.35E-05,0.000659078,5.40E-05,1.36E-06,4.49E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.19E-06,0
140731SQ,2014,47.1,1,2.507,6.66E-05,8.13E-05,1.86E-05,0.001814067,2.76E-08,7.29E-09,0,0.000178436,0.004369447,5.51E-06,0.005515353,3.47E-07,1.26E-07,2.58E-07,0.000269414,0.006554154,0.000176569,0.000756816,2.26E-05,0.000120509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.16E-05,0
140731SP,2014,44.4,1,2.465,0,9.69E-05,5.30E-07,0.003411776,0,6.16E-11,0,0.000179489,0.004378755,5.51E-06,0.005562402,2.53E-07,8.91E-08,1.47E-07,0.000250684,0.006555894,0.000155469,0.000703105,2.06E-05,0.000113772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.07E-05,0
140730SM,2014,83,1,8.273,0.004163197,1.91E-05,1.09E-05,0.006340911,3.08E-08,1.68E-08,6.53E-08,0.001233262,0.006050264,7.88E-06,0.000148954,0,4.56E-08,1.61E-07,0.000266532,0.012030883,1.61E-06,0.00023505,0,9.23E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79E-07,0
140730SJ,2014,69.3,1,8.248,0.005412157,1.88E-05,4.05E-07,0.006457411,9.90E-09,2.16E-08,1.16E-07,0.001248526,0.006128113,8.64E-06,0.000174664,1.16E-07,1.11E-07,1.94E-07,0.000328483,0.013087429,7.77E-06,0.000306665,0,1.10E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58E-07,0
140729TZ,2014,78.3,1,6.09,0.00358035,1.50E-05,1.21E-05,0.002795992,2.25E-07,1.27E-08,0,0.000729535,0.009583674,1.23E-05,0.001062559,0,7.17E-08,8.71E-07,0.000397637,0.012550674,2.44E-05,0.000550412,6.17E-06,0.000101048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.37E-07,0
140729TY,2014,85.6,1,4.665,5.83E-05,1.16E-05,2.03E-06,0.002338315,2.17E-09,9.85E-09,0,0.000124221,0.002149889,2.63E-06,0.002759446,0,8.91E-08,5.97E-07,0.000240599,0.006959983,0.000422543,0.000254744,2.88E-06,5.41E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.95E-06,0
140729TA,2014,50.4,1,8.043,0.001998335,6.25E-05,5.30E-07,0.002562993,1.64E-10,2.11E-09,0,0.000757432,0.009712859,1.35E-05,0.001117935,1.58E-07,2.39E-07,6.13E-07,0.000420689,0.013135711,2.05E-05,0.00058136,5.76E-06,0.000108283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79E-07,0
140729SF,2014,30,1,3.669,0,0.00013438,6.55E-07,0.013930034,1.31E-10,1.92E-08,1.55E-08,0.002458628,0.027419682,3.65E-05,0.006281253,9.06E-07,1.26E-08,4.52E-07,0.001318254,0.034806873,0.001179345,0.004825567,3.04E-05,0.000221806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.78E-06,0
140729SE,2014,28.8,1,3.659,3.33E-06,0.000146881,4.99E-07,0.014712246,7.65E-10,1.02E-08,0,0.002452312,0.028321722,3.84E-05,0.006380764,8.74E-07,5.87E-08,9.84E-07,0.001315372,0.034819052,0.001171016,0.004808686,3.04E-05,0.000221806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.12E-06,0
140729SD,2014,28.6,1,3.643,1.67E-05,0.00013438,7.17E-07,0.013231036,4.62E-09,8.59E-09,2.64E-08,0.00252337,0.029306688,3.92E-05,0.006655564,1.00E-06,1.20E-08,6.61E-07,0.001122317,0.031033058,0.001063853,0.004210957,2.67E-05,0.00019012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.91E-06,0
140729SC,2014,29.8,1,3.676,4.16E-06,0.000153131,4.99E-07,0.014778817,0,4.16E-09,4.48E-09,0.002081754,0.02243026,2.98E-05,0.005306131,6.21E-07,1.59E-08,2.10E-07,0.001184267,0.03123793,0.001076624,0.004327843,2.76E-05,0.0002001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.09E-06,0
140729SB,2014,78.1,1,2.2,0,9.06E-05,5.30E-05,0.007822122,0,2.25E-08,0,2.68E-05,3.70E-05,3.25E-08,0.010161237,1.26E-07,4.78E-08,4.68E-07,5.91E-06,0.001515441,0.000559134,0.000432759,0.000517589,0.000785679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000275788,0
140727SX,2014,58.8,1,1.943,0.001082431,2.50E-05,4.15E-06,0.006956695,1.38E-07,1.45E-08,1.16E-08,4.16E-05,3.81E-05,5.51E-08,0.018994691,6.42E-06,1.17E-07,1.08E-07,3.60E-06,0.001107873,0.000456968,0.000874725,0.000209833,0.000385729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000562321,0
140727SW,2014,53,1,1.951,0.000532889,5.63E-05,2.09E-06,0.005159272,5.20E-08,4.90E-09,0,4.37E-05,3.95E-05,5.76E-08,0.019579786,6.11E-06,7.83E-08,7.26E-08,3.46E-06,0.001086559,0.000409772,0.000799274,0.000202839,0.000361776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000381447,0
140727SV,2014,50.3,1,1.94,0.000333056,5.63E-05,3.12E-07,0.004443631,5.56E-08,7.17E-09,3.38E-08,4.26E-05,4.06E-05,6.01E-08,0.019250442,6.21E-06,8.91E-08,8.06E-08,3.75E-06,0.001143106,0.000455303,0.000899279,0.000215182,0.000392216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000333095,0
140726TR,2014,49.5,1,1.94,0.001648626,2.81E-05,2.32E-05,0.003719668,6.68E-08,2.33E-08,5.01E-09,7.00E-05,6.49E-06,1.50E-08,0.015630374,2.21E-06,5.43E-08,1.53E-07,3.60E-05,0.000208351,0.000279845,0.000666019,0.000184324,0.000119012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000187142,0
140726TQ,2014,29,1,2.053,0.001332223,0.000296886,2.65E-06,0.00224678,1.26E-07,3.75E-09,1.35E-07,7.42E-05,1.38E-05,3.75E-08,0.017115541,3.37E-06,6.74E-08,2.58E-07,3.60E-05,0.000299261,0.000162132,0.001100312,9.63E-05,7.04E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000188037,0
140726TN,2014,86.5,1,2.324,0.000308077,8.13E-06,1.50E-05,0.000595813,2.06E-08,2.25E-08,9.38E-08,9.47E-07,1.69E-06,0,0.003409805,0,9.35E-08,1.61E-07,1.58E-07,1.30E-05,0.002518046,1.82E-05,4.11E-06,1.57E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22E-06,0
