D3,EndTable:,D2,
D3,
D3,
D3,Table D3,Solute basis species(total molarity),
D3,Xi,t(days),H+,Mg+2,SiO2,Fe+2,
D3,0.000,0.000,-1.1590E-09,1.0010E-18,1.0010E-18,1.0010E-18,
D3,6.0174E-13,0.000,-1.1614E-09,2.4094E-14,6.0232E-13,1.1781E-12,
D3,1.0000E-08,0.000,-1.9621E-09,4.0038E-10,1.0010E-08,1.1773E-12,
D3,1.0000E-07,0.000,-9.1690E-09,4.0038E-09,1.0010E-07,1.1698E-12,
D3,1.0000E-06,0.000,-8.1238E-08,4.0038E-08,1.0010E-06,1.1103E-12,
D3,1.0000E-05,0.000,-8.0193E-07,4.0038E-07,1.0010E-05,1.0030E-12,
D3,1.2936E-05,0.000,-1.0371E-06,5.1795E-07,1.2939E-05,1.0002E-12,
D3,1.0000E-04,0.000,-8.0088E-06,4.0038E-06,1.4647E-05,1.0989E-12,
D3,2.6647E-04,0.000,-2.1339E-05,1.0669E-05,1.7914E-05,1.3325E-12,
D3,5.5192E-04,0.000,-2.1361E-05,1.0658E-05,1.7917E-05,2.2187E-08,
D3,6.6556E-04,0.000,-2.1356E-05,1.0655E-05,1.7963E-05,2.2344E-08,
D3,6.6780E-04,0.000,-2.0991E-05,1.0419E-05,2.7936E-05,7.5897E-08,
D3,1.0000E-03,0.000,-2.0991E-05,1.0419E-05,2.7936E-05,7.5897E-08,
D3,1.3057E-03,0.000,-2.0991E-05,1.0419E-05,2.7921E-05,7.5933E-08,
D3,1.3091E-03,0.000,-2.1096E-05,1.0458E-05,2.3156E-05,8.9378E-08,
D3,3.1840E-03,0.000,-2.1096E-05,1.0458E-05,2.3153E-05,8.9380E-08,
D3,1.0000E-02,0.000,-4.4842E-05,2.2089E-05,5.8069E-07,3.3085E-07,
D3,0.1000,0.000,-6.1892E-05,3.0329E-05,1.8365E-07,6.1680E-07,
D3,0.4955,0.000,-7.5704E-05,3.6900E-05,9.1927E-08,9.5158E-07,
D3,1.000,0.000,-7.5704E-05,3.6900E-05,9.1927E-08,9.5158E-07,
D4,EndTable:,D3,
D4,
D4,
D4,Table D4,Solute basis species(total ppm: mg/L),
D4,Xi,t(days),H+,Mg+2,SiO2,Fe+2,
D4,0.000,0.000,-0.0000,0.0000,0.0000,0.0000,
D4,6.0174E-13,0.000,-0.0000,0.0000,0.0000,0.0000,
D4,1.0000E-08,0.000,-0.0000,0.0000,0.0006,0.0000,
D4,1.0000E-07,0.000,-0.0000,0.0001,0.0060,0.0000,
D4,1.0000E-06,0.000,-0.0001,0.0010,0.0601,0.0000,
D4,1.0000E-05,0.000,-0.0008,0.0097,0.6014,0.0000,
D4,1.2936E-05,0.000,-0.0010,0.0126,0.7774,0.0000,
D4,1.0000E-04,0.000,-0.0081,0.0973,0.8801,0.0000,
D4,2.6647E-04,0.000,-0.0215,0.2593,1.0763,0.0000,
D4,5.5192E-04,0.000,-0.0215,0.2590,1.0765,0.0012,
D4,6.6556E-04,0.000,-0.0215,0.2590,1.0793,0.0012,
D4,6.6780E-04,0.000,-0.0212,0.2532,1.6785,0.0042,
D4,1.0000E-03,0.000,-0.0212,0.2532,1.6785,0.0042,
D4,1.3057E-03,0.000,-0.0212,0.2532,1.6776,0.0042,
D4,1.3091E-03,0.000,-0.0213,0.2542,1.3913,0.0050,
D4,3.1840E-03,0.000,-0.0213,0.2542,1.3911,0.0050,
D4,1.0000E-02,0.000,-0.0452,0.5369,0.0349,0.0185,
D4,0.1000,0.000,-0.0624,0.7371,0.0110,0.0344,
D4,0.4955,0.000,-0.0763,0.8969,0.0055,0.0531,
D4,1.000,0.000,-0.0763,0.8969,0.0055,0.0531,
E1,EndTable:,D4,
E1,
E1,
E1,Table E1,Basis species(log true molality; log mole fraction for H2O, log fugacity for O2(g)),
E1,Xi,t(days),H2O,H+,Mg+2,SiO2,Fe+2,O2(g),
E1,0.000,0.000,-2.1174E-06,-7.000,-18.00,-18.00,-27.67,-0.6695,
E1,6.0174E-13,0.000,-2.1174E-06,-7.000,-13.62,-12.22,-21.60,-0.6695,
E1,1.0000E-08,0.000,-2.1175E-06,-7.002,-9.398,-8.001,-21.60,-0.6695,
E1,1.0000E-07,0.000,-2.1179E-06,-7.017,-8.398,-7.001,-21.63,-0.6696,
E1,1.0000E-06,0.000,-2.1218E-06,-7.160,-7.398,-6.002,-21.92,-0.6703,
E1,1.0000E-05,0.000,-2.1641E-06,-7.808,-6.398,-5.007,-23.21,-0.6775,
E1,1.2936E-05,0.000,-2.1777E-06,-7.892,-6.286,-4.897,-23.38,-0.6798,
E1,1.0000E-04,0.000,-1.9255E-06,-8.772,-5.398,-4.897,-25.12,-0.7564,
E1,2.6647E-04,0.000,-1.4433E-06,-9.195,-4.974,-4.897,-25.91,-0.9559,
E1,5.5192E-04,0.000,-3.4927E-07,-9.195,-4.974,-4.897,-7.905,-72.99,
E1,6.6556E-04,0.000,-3.4951E-07,-9.195,-4.974,-4.896,-7.902,-73.01,
E1,6.6780E-04,0.000,-4.0828E-07,-9.125,-4.984,-4.685,-7.340,-75.54,
E1,1.0000E-03,0.000,-4.0828E-07,-9.125,-4.984,-4.685,-7.340,-75.54,
E1,1.3057E-03,0.000,-4.0818E-07,-9.125,-4.984,-4.685,-7.340,-75.54,
E1,1.3091E-03,0.000,-3.8054E-07,-9.156,-4.982,-4.775,-7.282,-76.26,
E1,3.1840E-03,0.000,-3.8053E-07,-9.156,-4.982,-4.775,-7.282,-76.26,
E1,1.0000E-02,0.000,-9.3391E-06,-9.630,-4.660,-6.565,-7.035,-83.42,
E1,0.1000,0.000,-1.2770E-04,-9.768,-4.524,-7.144,-6.922,-85.74,
E1,0.4955,0.000,-6.4964E-04,-9.852,-4.440,-7.498,-6.853,-87.15,
E1,1.000,0.000,-6.4964E-04,-9.852,-4.440,-7.498,-6.853,-87.15,
E2,EndTable:,E1,
E2,
E2,
E2,Table E2,Basis species(log activity; log fugacity for O2(g)),
E2,Xi,t(days),H2O,H+,Mg+2,SiO2,Fe+2,O2(g),
E2,0.000,0.000,-0.0000,-7.0000,-18.0007,-18.0011,-27.6721,-0.6695,
E2,6.0174E-13,0.000,-0.0000,-7.0000,-13.6192,-12.2217,-21.6013,-0.6695,
E2,1.0000E-08,0.000,-0.0000,-7.0017,-9.3986,-8.0011,-21.6047,-0.6695,
E2,1.0000E-07,0.000,-0.0000,-7.0167,-8.3986,-7.0012,-21.6346,-0.6696,
E2,1.0000E-06,0.000,-0.0000,-7.1607,-7.3988,-6.0016,-21.9225,-0.6703,
E2,1.0000E-05,0.000,-0.0000,-7.8086,-6.4002,-5.0072,-23.2166,-0.6775,
E2,1.2936E-05,0.000,-0.0000,-7.8927,-6.2887,-4.8972,-23.3841,-0.6798,
E2,1.0000E-04,0.000,-0.0000,-8.7738,-5.4055,-4.8972,-25.1273,-0.7564,
E2,2.6647E-04,0.000,-0.0000,-9.1978,-4.9851,-4.8972,-25.9254,-0.9559,
E2,5.5192E-04,0.000,-0.0000,-9.1980,-4.9856,-4.8972,-7.9169,-72.9916,
E2,6.6556E-04,0.000,-0.0000,-9.1977,-4.9857,-4.8960,-7.9136,-73.0064,
E2,6.6780E-04,0.000,-0.0000,-9.1276,-4.9951,-4.6849,-7.3513,-75.5397,
E2,1.0000E-03,0.000,-0.0000,-9.1276,-4.9951,-4.6849,-7.3513,-75.5397,
E2,1.3057E-03,0.000,-0.0000,-9.1277,-4.9951,-4.6852,-7.3512,-75.5418,
E2,1.3091E-03,0.000,-0.0000,-9.1587,-4.9936,-4.7747,-7.2937,-76.2580,
E2,3.1840E-03,0.000,-0.0000,-9.1587,-4.9936,-4.7748,-7.2937,-76.2583,
E2,1.0000E-02,0.000,-0.0000,-9.6340,-4.6763,-6.5649,-7.0510,-83.4187,
E2,0.1000,0.000,-0.0001,-9.7725,-4.5428,-7.1441,-6.9416,-85.7360,
E2,0.4955,0.000,-0.0007,-9.8572,-4.4605,-7.4981,-6.8741,-87.1543,
E2,1.000,0.000,-0.0007,-9.8572,-4.4605,-7.4981,-6.8741,-87.1543,
E3,EndTable:,E2,
E3,
E3,
E3,Table E3,Basis species(log activity coefficient),
E3,Xi,t(days),H2O,H+,Mg+2,SiO2,Fe+2,O2(g),
E3,0.000,0.000,-0.0000,-0.0002,-0.0006,0.0000,-0.0006,0.0000,
E3,6.0174E-13,0.000,-0.0000,-0.0002,-0.0006,0.0000,-0.0006,0.0000,
E3,1.0000E-08,0.000,-0.0000,-0.0002,-0.0007,0.0000,-0.0007,0.0000,
E3,1.0000E-07,0.000,-0.0000,-0.0002,-0.0007,0.0000,-0.0007,0.0000,
E3,1.0000E-06,0.000,-0.0000,-0.0002,-0.0009,0.0000,-0.0009,0.0000,
E3,1.0000E-05,0.000,0.0000,-0.0006,-0.0022,0.0000,-0.0023,0.0000,
E3,1.2936E-05,0.000,0.0000,-0.0006,-0.0026,0.0000,-0.0026,0.0000,
E3,1.0000E-04,0.000,0.0000,-0.0018,-0.0070,0.0000,-0.0070,0.0000,
E3,2.6647E-04,0.000,0.0000,-0.0028,-0.0114,0.0000,-0.0114,0.0000,
E3,5.5192E-04,0.000,0.0000,-0.0028,-0.0114,0.0000,-0.0114,0.0000,
E3,6.6556E-04,0.000,0.0000,-0.0028,-0.0114,0.0000,-0.0114,0.0000,
