E2,1.0000E-04,0.000,-0.0000,-8.5559,-5.4051,-4.8422,-24.5418,-0.8450,
E2,3.0097E-04,0.000,-0.0000,-9.0327,-4.9322,-4.8422,-7.3828,-73.2956,
E2,3.6438E-04,0.000,-0.0000,-9.1144,-4.8505,-4.8422,-7.5461,-73.2956,
E2,3.6682E-04,0.000,-0.0000,-9.0528,-4.8475,-4.6495,-7.0376,-75.6074,
E2,4.0054E-04,0.000,-0.0000,-9.0900,-4.8100,-4.6495,-7.1119,-75.6074,
E2,7.0439E-04,0.000,-0.0000,-9.0900,-4.8100,-4.6498,-7.1118,-75.6092,
E2,7.0642E-04,0.000,-0.0000,-9.1068,-4.8111,-4.6956,-7.0843,-75.9754,
E2,1.0000E-03,0.000,-0.0000,-9.1068,-4.8111,-4.6956,-7.0843,-75.9754,
E2,1.6997E-03,0.000,-0.0000,-9.1068,-4.8111,-4.6956,-7.0843,-75.9756,
E2,1.0000E-02,0.000,-0.0000,-9.6324,-4.4917,-6.6303,-6.8455,-83.7145,
E2,0.1000,0.000,-0.0001,-9.7615,-4.3672,-7.1705,-6.7435,-85.8758,
E2,0.2862,0.000,-0.0004,-9.8166,-4.3135,-7.4014,-6.6994,-86.8002,
E2,1.000,0.000,-0.0004,-9.8166,-4.3135,-7.4014,-6.6994,-86.8002,
E3,EndTable:,E2,
E3,
E3,
E3,Table E3,Basis species(log activity coefficient),
E3,Xi,t(days),H2O,H+,Mg+2,SiO2,Fe+2,O2(g),
E3,0.000,0.000,-0.0000,-0.0002,-0.0007,0.0000,-0.0007,0.0000,
E3,8.9930E-13,0.000,-0.0000,-0.0002,-0.0007,0.0000,-0.0007,0.0000,
E3,1.0000E-08,0.000,-0.0000,-0.0002,-0.0007,0.0000,-0.0007,0.0000,
E3,1.0000E-07,0.000,-0.0000,-0.0002,-0.0007,0.0000,-0.0007,0.0000,
E3,1.0000E-06,0.000,-0.0000,-0.0002,-0.0009,0.0000,-0.0009,0.0000,
E3,1.0000E-05,0.000,0.0000,-0.0006,-0.0022,0.0000,-0.0022,0.0000,
